,subgroup,TOXICITY@1_subgroup_auc,TOXICITY@1_bpsn_auc,TOXICITY@1_bnsp_auc,TOXICITY@2_subgroup_auc,TOXICITY@2_bpsn_auc,TOXICITY@2_bnsp_auc,TOXICITY@3_subgroup_auc,TOXICITY@3_bpsn_auc,TOXICITY@3_bnsp_auc,TOXICITY@4_subgroup_auc,TOXICITY@4_bpsn_auc,TOXICITY@4_bnsp_auc,TOXICITY@5_subgroup_auc,TOXICITY@5_bpsn_auc,TOXICITY@5_bnsp_auc,TOXICITY@6_subgroup_auc,TOXICITY@6_bpsn_auc,TOXICITY@6_bnsp_auc
0,lesbian,0.930365432099,0.74155262541,0.9761861619,0.976728395062,0.960841615877,0.986336380684,0.97637654321,0.960478551336,0.986135099234,0.976728395062,0.960804500703,0.986321065792,0.991462345679,0.98240537584,0.994003945929,0.99875,0.976154750742,0.999113338022
1,gay,0.935438888889,0.647514416315,0.988574230348,0.976881481481,0.924806922957,0.995710110955,0.975883333333,0.923795124238,0.995562666042,0.976899382716,0.924762892639,0.9957096812,0.985835802469,0.943459290514,0.998022230036,0.999290740741,0.942864549148,0.999972183154
2,bisexual,0.955375308642,0.951039224879,0.915464369433,0.992374074074,0.999988670105,0.791827902797,0.992168518519,0.999988474762,0.7914563213,0.992334567901,0.99998851383,0.791872831692,0.994354938272,0.993077590248,0.987567862166,0.982996296296,0.976326887014,0.99232473824
3,transgender,0.955149382716,0.917165221128,0.936973980309,0.985659259259,0.976511173621,0.982814814815,0.985319135802,0.976311845601,0.982469839037,0.985660493827,0.976523675574,0.982766643226,0.994513580247,0.984437060478,0.995319893733,0.998709876543,0.991436279106,0.99642049539
4,trans,0.96877037037,0.96278863885,0.914136740116,0.992182716049,0.983021331458,0.983561806532,0.992115432099,0.98294569464,0.983292897328,0.992156790123,0.983006602594,0.98353387248,0.998367901235,0.994446593218,0.994083763088,0.999574074074,0.996370721988,0.995799851539
5,cis,0.993719753086,0.997171745585,0.874486052508,0.99369382716,0.975418112205,0.991468198156,0.993510493827,0.975317549617,0.991109626504,0.993634567901,0.975346265041,0.99143897484,0.999380864198,0.999456399437,0.981702883263,0.998883950617,0.999686826067,0.97663213002
6,queer,0.975320987654,0.95551988592,0.932235114862,0.990135802469,0.979981325207,0.984762228473,0.990104938272,0.979918151274,0.984588646664,0.990059259259,0.979949288951,0.984713744335,0.971561728395,0.974470815752,0.987340443819,0.985411728395,0.983726597906,0.990776136896
7,lgbt,0.979387654321,0.981055321144,0.896696007189,0.990812345679,0.981737068292,0.983930067198,0.990705555556,0.98158427098,0.983730739178,0.990708641975,0.981677879356,0.983860603219,0.998286419753,0.994898226285,0.992408305985,0.999948148148,0.99890033599,0.994203547429
8,lgbtq,0.992490123457,0.996033677137,0.882835091421,0.994464197531,0.981095249258,0.989811611189,0.994509876543,0.98104617909,0.989738826379,0.994440740741,0.981051258009,0.98979676512,0.994527777778,0.993656040006,0.988251992499,0.999759876543,0.999348218472,0.987657290202
9,homosexual,0.868048765432,0.532446163463,0.992488709173,0.975549382716,0.945413111424,0.991321769026,0.975214814815,0.94498124707,0.991179989061,0.975470987654,0.945379590561,0.991282700422,0.988649382716,0.961408266917,0.996889045163,0.996346296296,0.957760743866,0.999493866229
