rev_id	comment	is_toxic	split
wikipedia_random40471_Thessaloniki_526	ΕΟ65, Ν (Kilkis, Doirani)  Thessaloniki is twinned with:.	False	train
wikipedia_random55023066_Defection of Viktor Belenko_44	The MiG’s landing caused great concern in Japan.	False	train
wikipedia_random558216_Restriction of Hazardous Substances Directive_129	Benzyl butyl phthalate (BBP).	False	test
wikipedia_random52769729_William Marsland_7	He also served on the committee of the General Federation of Trade Unions, and on the council of the British Cotton Growing Association, for which in 1911 he went on a fact-finding trip to the Caribbean.	False	train
wikipedia_random35002166_South East Suns Australian Football Club_44	The Reserves finish the home and away season in second but lose to Kedron in the Qualifying Final and the UQ Red Lions in the Semi Final both by a heart breaking 3 points.	False	train
wikipedia_random22654311_Jef Elbers_18	Disappointed, Elbers then withdraws from active political life.	False	train
wikipedia_random162638_Dulwich College_122	The trophy is still played for today, with Blew House having won last 3 years (2011-2014).	False	train
wikipedia_random42854247_Lick Run (West Branch Susquehanna River)_67	The watershed of Lick Run has an area of 27.5 square miles.	False	train
wikipedia_random9652676_Buffalo & Erie County Public Library_61	East Delavan Branch Library - Buffalo.	False	dev
wikipedia_random36090985_Bisexuality in the United States_49	The bisexual movement had its own successes as well.	False	dev
wikipedia_random11013462_Green highway_34	Stormwater Management with Pervious Concrete Pavement U.S. Highway 301 Waldorf Transportation Improvements project is working towards becoming the nation’s first truly green highway by incorporating the principles of the Green Highways Partnership and green infrastructure in its earliest planning stages.	False	dev
wikipedia_random9295527_Eric Howlett_29	2006 — Co-founded LeepVR, Ltd. with his son, Alex.	False	dev
wikipedia_random3030955_Kashmir conflict_798	"300 activists from Kashmiri groups protested during the first Gilgit-Baltistan legislative assembly elections, with some carrying banners reading ""Pakistan's expansionist designs in Gilgit-Baltistan are unacceptable"" In December 2009, activists from nationalist Kashmiri groups staged a protest in Muzaffarabad to condemn the alleged rigging of elections and the killing of an 18-year-old student."	False	train
wikipedia_random562737_HMS Ajax (22)_93	The author Warren Tute′s service on HMS Ajax during the 1930s formed the background for his novel The Cruiser.	False	dev
wikipedia_random5986014_Bhanu Athaiya_13	Athaiya's father, Annasaheb was a painter.	False	train
wikipedia_random29026847_History of abortion law debate_85	330–331).	False	train
wikipedia_random6173010_2S3 Akatsiya_60	724th Guards Warsaw self-propelled artillery regiment (stationed in Neustrelitz) of 16th Guards Tank Division.	False	train
wikipedia_random3515200_Port Charles (fictional city)_278	Mercy Hospital.	False	train
wikipedia_random4909174_Ingemar Backman_8	He is currently sponsored by the internet poker site Martinspoker.	False	test
wikipedia_random1567869_Red Summer_85	They were commanded by Major General Leonard Wood, a friend of Theodore Roosevelt, and a leading candidate for the Republican nomination for President in 1920.	False	train
wikipedia_random41724047_VingCard Elsafe_25	Aside from VingCard Elsafe, ASSA ABLOY also owns Yale lock, Sargent and the high-security lock firms of Medeco in the U.S., Mul-T-Lock in Israel, Fichet-Bauche in France.	False	dev
wikipedia_random3943709_Leidschenveen-Ypenburg_2	It consists of four quarters: Hoornwijk and Ypenburg on the southwest of the A12 motorway and parallel railway to Utrecht, and Forepark and Leidschenveen on the northeast.	False	train
wikipedia_random12170961_Constitution of the Roman Republic_81	The Curiate assembly (Latin: comitia curiata) traditionally dates to the early monarchy, from 30 divisions of the city made by Romulus.	False	train
wikipedia_random27864288_Texas Commission on Alcohol and Drug Abuse_0	The Texas Commission on Alcohol and Drug Abuse (TCADA) was a state agency of Texas, headquartered in Austin.	False	dev
wikipedia_random41486224_Kim Kershaw_0	Kim Kershaw (born 25 January 1959) is a former Australian rules footballer who played with Richmond and Hawthorn in the Victorian Football League (VFL).	False	dev
wikipedia_random5827999_Royal Rumble (1997)_49	The Royal Rumble match began with Ahmed Johnson and Crush, where the rivalry with Johnson and Faarooq continued, as Johnson eliminated himself after Faarooq came down the aisle to chase him.	False	dev
wikipedia_random12270990_Maran Brang Seng_4	He led the first Kachin rebel delegation to China in 1967 and was Chairman of KIO since 1975.	False	train
wikipedia_random2662425_Boy Scouts of America membership controversies_206	The Boy Scouts of America has been sued because of its membership, leadership, and employment standards.	False	dev
wikipedia_random49836673_Marc Herman_48	Le Meilleur des stuuût (2004) broadcast by RTBF (2005).	False	dev
wikipedia_random5596461_Appadurai Muttulingam_0	Appadurai Muttulingam (Tamil அ.	False	dev
wikipedia_random43554599_Speed limits in the United States by jurisdiction_757	However, U.S. Route 123 has a divided segment where the speed limit is 65 mph.	False	test
wikipedia_random42728848_David Davies (actor born 1906)_26	A Run for Your Money (1949) - The Burly Stranger.	False	train
wikipedia_random23215458_John Mullan (road builder)_663	Governor George Pardee, under attack by Gardner and anti-corruption forces, decided to give Mullan only $25,000 (payable in two installments).	False	dev
wikipedia_random5626926_Ezra Attiya_27	With Nachum's backing, Attiya opened a yeshiva named Ahavah VeAchvah in the basement of the Cairo rabbinate.	False	test
wikipedia_random21986897_1999 New Year Honours_596	Founder, Charity Projects.	False	train
wikipedia_random14107102_The Fugitive Kind_8	"Valentine ""Snakeskin"" Xavier, a guitar-playing drifter, flees New Orleans in order to avoid arrest."	False	train
wikipedia_random30864663_ASAP (variety show)_130	Marcelito Pomoy (2011–present)*.	False	test
wikipedia_random45577957_Operation Doublet_15	Ten men were sentenced to a total of 125 years in jail:.	False	train
wikipedia_random9407145_History of Nova Scotia_371	B. McLachlan (1869–1937), who left the coal mines of Scotland for Canada in 1902, became a Communist (1922 to 1936) and promoted a strong union and a tradition of independent labour politics.	False	train
wikipedia_random2307954_Enterohepatic circulation_5	Due to the pH of the small intestine, most of the bile acids are ionized and mostly occur as their sodium salts which are then called “primary conjugated bile salts.” In the lower small intestine and colon, bacteria dehydroxylate some of the primary bile salts to form secondary conjugated bile salts (which are still water-soluble).	False	test
wikipedia_random42136606_2015 Pac-12 Conference Men's Basketball Tournament_19	Jim Jarvis (Oregon State).	False	train
wikipedia_random53169875_The Guitar Genius_17	"""Swanee River"" (Stephen Foster) – 1:41."	False	dev
wikipedia_random13141017_Rebreuviette_1	Rebreuviette lies on the banks of the river Canche, 18 miles (29 km) west of Arras, at the junction of the D53 and D339 roads.	False	train
wikipedia_random1030911_Nissan SR engine_61	HNU13 Nissan Bluebird SSS ATTESA Limited, 210 ps (154.46 kW) / 6000 rpm (274.59 N⋅m) / 4000 rpm.	False	train
wikipedia_random16706608_Phase field models_11	Equations of the model are then obtained by using general relations of statistical physics.	False	train
wikipedia_random38561683_Bellary M. Raghavendra_12	His father, Vidwan Bellary.	False	dev
wikipedia_random1152896_Side chain_1	The side chain is a hydrocarbon branching element of a molecule that that is attached to a larger hydrocarbon backbone.	False	test
wikipedia_random41799350_Ghost craters on Mercury_30	Then volcanic material flooded over the surface and filled the inside of the crater.	False	dev
wikipedia_random875657_Barry Fell_30	"We need to ask not only what Fell has done wrong in his epigraphy, but also where we have gone wrong as archaeologists in not recognizing such an extensive European presence in the New World."""	False	train
wikipedia_random7003_Cauchy distribution_12	It is one of the few distributions that is stable and has a probability density function that can be expressed analytically, the others being the normal distribution and the Lévy distribution.	False	dev
wikipedia_random25886619_Enmanuel Quintanilla_2	He returned to second division AFI-El Roble for the 2011 Clausura.	False	train
wikipedia_random587562_Portland Aerial Tram_107	Operating costs are divided between the city and OHSU in proportion to the ridership.	False	train
wikipedia_random2744997_Kelly Windsor_113	Kelly continues to cause problems for them by arranging for Jimmy to spend time with her and Elliot at a time when Nicola had arranged for him to see Angelica in the park.	False	test
wikipedia_random42065104_Firebeatz_0	Firebeatz is a Dutch music producing duo made up of Tim Benjamin Smulders (born 14 August 1985) and Jurre van Doeselaar (born 7 July 1987) that formed in Tilburg in 2008.	False	test
wikipedia_random6953865_Bureau of Yards and Docks_13	Commodore David B.	False	test
wikipedia_random28868737_Christian Clemens_56	In a friendly match against Bochum on 7 January 2017, Clemens scored in a 1–0 win.	False	train
wikipedia_random39732506_2000 Teen Choice Awards_15	Carson Daly.	False	train
wikipedia_random6276036_Hartlepool Submerged Forest_6	The site is also considered to be of significant importance in understanding sea level and environmental changes since the last Ice Age, and is identified as such in the Geological Conservation Review.	False	train
wikipedia_random4498963_Open University of Hong Kong_277	Student Beauty Society.	False	train
wikipedia_random39916569_GAZ Sadko_35	4150 kg (curb).	False	test
wikipedia_random398786_Multidimensional scaling_85	Test the results for reliability and validity – Compute R-squared to determine what proportion of variance of the scaled data can be accounted for by the MDS procedure.	False	train
wikipedia_random15515301_Foundations of statistics_99	In statistics the alternative interpretations enable the analysis of different data using different methods based on different models to achieve slightly different goals.	False	test
wikipedia_random306726_Bitches Brew_66	It came from another place.	False	test
wikipedia_random26819541_Evan Wisdom_19	He was awarded the Distinguished Service Order for his services at Gallipoli.	False	train
wikipedia_random4076217_Merkle–Damgård construction_15	To harden the hash further the last result is then sometimes fed through a finalisation function.	False	dev
wikipedia_random13572594_Pater Sparrow_18	1 – (2008).	False	train
wikipedia_random28785172_Catesby Priory_8	An altar in the priory church was dedicated to Edmund and became a place of pilgrimage.	False	test
wikipedia_random1897858_John Richardson (author)_3	His father Dr. Robert Richardson was a surgeon with the Queen's Rangers.	False	train
wikipedia_random1904147_The Sales Curve_1	They were founded in 1987 in London as Maindrell and was defunct in 2005 after buying Eidos Interactive.	False	train
wikipedia_random395677_Crème caramel_7	This was originally a Spanish usage, but the dish is now best known in the United States in a Latin American context.	False	test
wikipedia_random6747424_Jupiter's moons in fiction_170	In Jeremy Robinson's Beneath (2010), a manned expedition travels to Europa to explore the moon and its potential for extraterrestrial life.	False	train
wikipedia_random45319162_Third Set_6	"""Blue Monk"" (Thelonious Monk) - 6:12."	False	test
wikipedia_random28037131_Commandant (rank)_39	The rank was also used for senior commanders of the Ulster Special Constabulary (B Specials).	False	test
wikipedia_random23135082_Myrtou_38	At first they built a small church and two rooms for themselves.	False	train
wikipedia_random5626926_Ezra Attiya_28	Under his direction, the yeshiva grew to 100 students, attracting many from secular backgrounds.	False	train
wikipedia_random32304_United Methodist Church_310	Absolution.	False	train
wikipedia_random1030923_Nissan KA engine_49	1991-1998 Nissan 240SX.	False	train
wikipedia_random42621_Gwyneth Paltrow_106	While the second film made US$623.9 million internationally, the third entry went on to gross US$1.215 billion.	False	test
