template,toxicity,phrase
i_am_identity,nontoxic,ma Purana hu
i_am_identity,nontoxic,ma kala hu
i_am_identity,nontoxic,ma andha hu
i_am_identity,nontoxic,ma purush hu
i_am_identity,nontoxic,ma Bahot Purana hu
i_am_identity,nontoxic,ma kali hu
i_am_identity,nontoxic,ma andhi hu
i_am_identity,nontoxic,ma Purani hu
i_am_identity,nontoxic,ma stree hu
i_am_identity,nontoxic,ma Bahot Purani hu
i_am_identity,nontoxic,ma adhed hu
i_am_identity,nontoxic,ma Malayaali hu
i_am_identity,nontoxic,ma Shudr hu
i_am_identity,nontoxic,ma Maraathi hu
i_am_identity,nontoxic,ma Pandit hu
i_am_identity,nontoxic,ma madhya purvi hu
i_am_identity,nontoxic,ma safed hu
i_am_identity,nontoxic,ma protestant hu
i_am_identity,nontoxic,ma Isaai hu
i_am_identity,nontoxic,ma ubhaylingi hu
i_am_identity,nontoxic,ma bouddh hu
i_am_identity,nontoxic,ma Vaishy hu
i_am_identity,nontoxic,ma Baniya hu
i_am_identity,nontoxic,ma Madraasi hu
i_am_identity,nontoxic,ma Kshatriy hu
i_am_identity,nontoxic,ma Vaishnav hu
i_am_identity,nontoxic,ma kishoravastha hu
i_am_identity,nontoxic,ma Pahaadi hu
i_am_identity,nontoxic,ma Shiya hu
i_am_identity,nontoxic,ma europiya hu
i_am_identity,nontoxic,ma sidha hu
i_am_identity,nontoxic,ma pakshaghaat hu
i_am_identity,nontoxic,ma Hindoo hu
i_am_identity,nontoxic,ma speni hu
i_am_identity,nontoxic,ma chini hu
i_am_identity,nontoxic,ma badhir hu
i_am_identity,nontoxic,ma Sikh hu
i_am_identity,nontoxic,ma Gurjar hu
i_am_identity,nontoxic,ma Protestent hu
i_am_identity,nontoxic,ma Gujaraati hu
i_am_identity,nontoxic,ma chota hu
i_am_identity,nontoxic,ma Yahoodi hu
i_am_identity,nontoxic,ma Meena hu
i_am_identity,nontoxic,ma canadian hu
i_am_identity,nontoxic,ma Nat hu
i_am_identity,nontoxic,ma Jawan hu
i_am_identity,nontoxic,ma Brahman hu
i_am_identity,nontoxic,ma asiaayi hu
i_am_identity,nontoxic,ma amariki hu
i_am_identity,nontoxic,ma sikh hu
