,subgroup,TOXICITY@1_subgroup_auc,TOXICITY@1_bpsn_auc,TOXICITY@1_bnsp_auc,TOXICITY@2_subgroup_auc,TOXICITY@2_bpsn_auc,TOXICITY@2_bnsp_auc,TOXICITY@3_subgroup_auc,TOXICITY@3_bpsn_auc,TOXICITY@3_bnsp_auc,TOXICITY@4_subgroup_auc,TOXICITY@4_bpsn_auc,TOXICITY@4_bnsp_auc,TOXICITY@5_subgroup_auc,TOXICITY@5_bpsn_auc,TOXICITY@5_bnsp_auc,TOXICITY@6_subgroup_auc,TOXICITY@6_bpsn_auc,TOXICITY@6_bnsp_auc
0,african transgender,0.968089196463,0.943407779945,0.934297796892,0.996251441753,0.983499539115,0.987372016326,0.99639561707,0.983261589361,0.987204243796,0.996443675509,0.983524019543,0.987359286503,0.999423298731,0.99531248776,0.996212388271,0.999231064975,0.9906696931,0.996961815756
1,african trans,0.977508650519,0.975535892876,0.913863494526,0.998366013072,0.987832248361,0.987229703441,0.998366013072,0.987750973342,0.987051812335,0.998366013072,0.987841061315,0.987135045788,1.0,0.999248940487,0.995692423993,0.999903883122,0.993727788092,0.997462848503
2,african cis,0.995963091119,0.998608858912,0.882478933776,0.999231064975,0.98288981327,0.993508443463,0.998846597463,0.982845422095,0.993049843456,0.999231064975,0.982958684872,0.993464705099,1.0,0.999982374092,0.990070085832,0.999134948097,0.99906125721,0.985163881773
3,african male,0.995963091119,0.996405620445,0.897216151076,0.99846212995,0.984944210738,0.989988484407,0.998173779316,0.984861630096,0.989872283978,0.99846212995,0.984980115365,0.99011121295,1.0,0.999899467045,0.992900676051,0.999327181853,0.999756501349,0.978903746876
4,african female,0.997116493656,0.997009470988,0.89831548547,0.998173779316,0.978876328798,0.993332837197,0.998221837755,0.978652088083,0.993064531712,0.998173779316,0.978738585593,0.993289425239,1.0,0.999877271457,0.993168981536,0.999423298731,0.999511697075,0.987744118822
5,african nonbinary,0.990003844675,0.992005671625,0.908256171026,0.99846212995,0.974556022969,0.995663373886,0.998269896194,0.974233860544,0.995343822707,0.99846212995,0.974579524179,0.995603968049,0.998077662438,0.996348499448,0.987932781316,1.0,0.999984985338,0.984930828104
6,african lesbian,0.950211457132,0.808570891401,0.969350504884,0.991733948481,0.97205314407,0.989257335642,0.992262591311,0.972107327416,0.989310539771,0.991541714725,0.971956854389,0.989271044681,0.996732026144,0.993286161182,0.993811347951,0.999807766244,0.98168243859,0.999283865897
7,african gay,0.953767781622,0.723876772709,0.983427729861,0.992118415994,0.945003903812,0.996481346567,0.991397539408,0.944320736685,0.996290072828,0.992502883506,0.945121736269,0.996522800091,0.993367935409,0.959976786027,0.99813165378,1.0,0.952718502503,0.99994385822
8,african bisexual,0.969819300269,0.969294363104,0.911222219611,0.998654363706,0.999732347327,0.816025018344,0.998702422145,0.999713742202,0.815819382754,0.998654363706,0.999732347327,0.816331839701,0.999519415609,0.997780114843,0.990668061072,0.991493656286,0.977307949415,0.994703741132
9,african queer,0.982410611303,0.970611083693,0.930249713416,0.998558246828,0.987236884366,0.98835515029,0.998750480584,0.987272136182,0.988392686946,0.998558246828,0.987254510274,0.988354823885,0.98615916955,0.980620640852,0.990758149045,0.993464052288,0.981110902211,0.99520999637
10,african lgbt,0.985870818916,0.987509106719,0.900745902303,0.998846597463,0.988821257628,0.987381155685,0.998846597463,0.988701793142,0.987546316969,0.998846597463,0.988721051079,0.987531955118,1.0,0.999298880559,0.994724304691,1.0,0.998613428592,0.996823746145
