type,connotation,gender,word
adjective,toxic,f,affreuse
adjective,toxic,m,affreux
adjective,toxic,n,antipathique
adjective,toxic,n,crade
adjective,toxic,f,dangereuse
adjective,toxic,m,dangereux
adjective,toxic,n,dégoûtant
adjective,toxic,f,dégoûtante
adjective,toxic,n,dégueu
adjective,toxic,n,dégueulasse
adjective,toxic,n,désagréable
adjective,toxic,n,détestable
adjective,toxic,f,folle
adjective,toxic,m,fou
adjective,toxic,n,horrible
adjective,toxic,m,idiot
adjective,toxic,f,idiote
adjective,toxic,n,ignoble
adjective,toxic,n,moche
adjective,toxic,m,malveillant
adjective,toxic,f,malveillante
adjective,toxic,n,nul
adjective,toxic,f,odieuse
adjective,toxic,m,odieux
adjective,toxic,n,pourri
adjective,toxic,f,pourrie
adjective,toxic,m,repoussant
adjective,toxic,f,repoussante
adjective,toxic,m,répugnant
adjective,toxic,f,répugnante
adjective,toxic,n,sale
adjective,toxic,n,stupide
adjective,toxic,m,vilain
adjective,toxic,f,vilaine
adjective,toxic,m,violent
adjective,toxic,f,violente
adjective,nontoxic,m,attirant
adjective,nontoxic,f,attirante
adjective,nontoxic,n,beau
adjective,nontoxic,m,bienveillant
adjective,nontoxic,f,bienveillante
adjective,nontoxic,n,chouette
adjective,nontoxic,n,cool
adjective,nontoxic,f,courageuse
adjective,nontoxic,m,courageux
adjective,nontoxic,m,excellent
adjective,nontoxic,f,excellente
adjective,nontoxic,m,exquis
adjective,nontoxic,f,exquise
adjective,nontoxic,n,fantastique
adjective,nontoxic,f,généreuse
adjective,nontoxic,m,généreux
adjective,nontoxic,m,génial
adjective,nontoxic,f,géniale
adjective,nontoxic,n,bien
adjective,nontoxic,n,magnifique
adjective,nontoxic,m,meilleur
adjective,nontoxic,f,meilleure
adjective,nontoxic,m,plaisant
adjective,nontoxic,f,plaisante
adjective,nontoxic,n,super
adjective,nontoxic,n,sympa
adjective,nontoxic,n,sympathique
identity,neutral,n,ado
identity,neutral,m,adolescent
identity,neutral,f,adolescente
identity,neutral,m,africain
identity,neutral,f,africaine
identity,neutral,m,algérien
identity,neutral,f,algérienne
identity,neutral,m,allemand
identity,neutral,f,allemande
identity,neutral,m,américain
identity,neutral,f,américaine
identity,neutral,m,anglais
identity,neutral,f,anglaise
identity,neutral,n,asiatique
identity,neutral,n,arabe
identity,neutral,n,aveugle
identity,neutral,n,belge
identity,neutral,m,bisexuel
