type,connotation,gender,word
adjective,toxic,n,desagradable
adjective,toxic,m,sucio
adjective,toxic,f,sucia
adjective,toxic,m,asqueroso
adjective,toxic,f,asquerosa
adjective,toxic,m,podrído
adjective,toxic,f,podrída
adjective,toxic,n,horrible
adjective,toxic,n,terrible
adjective,toxic,m,horrendo
adjective,toxic,f,horrenda
adjective,toxic,m,repulsivo
adjective,toxic,f,repulsiva
adjective,toxic,n,vil
adjective,toxic,n,idiota
adjective,toxic,m,estúpido
adjective,toxic,f,estúpida
adjective,toxic,n,imbecíl
adjective,toxic,m,tonto
adjective,toxic,f,tonta
adjective,toxic,m,feo
adjective,toxic,f,fea
adjective,toxic,n,mierda
adjective,toxic,m,jodido
adjective,toxic,f,jodida
adjective,nontoxic,m,grandioso
adjective,nontoxic,f,grandiosa
adjective,nontoxic,m,entretenido
adjective,nontoxic,f,entretenida
adjective,nontoxic,m,lindo
adjective,nontoxic,f,linda
adjective,nontoxic,m,estupendo
adjective,nontoxic,f,estupenda
adjective,nontoxic,n,feliz
adjective,nontoxic,m,bueno
adjective,nontoxic,f,buena
adjective,nontoxic,n,mejor
adjective,nontoxic,m,fantastico
adjective,nontoxic,f,fantastica
adjective,nontoxic,m,maravilloso
adjective,nontoxic,f,maravillosa
adjective,nontoxic,m,encantador
adjective,nontoxic,f,encantadora
adjective,nontoxic,n,excelente
adjective,nontoxic,n,increíble
adjective,nontoxic,m,amistoso
adjective,nontoxic,f,amistosa
adjective,nontoxic,m,gracioso
adjective,nontoxic,f,graciosa
adjective,nontoxic,m,generoso
adjective,nontoxic,f,generosa
adjective,nontoxic,m,preocupado
adjective,nontoxic,f,preocupada
identity,neutral,f,lesbiana
identity,neutral,n,gay
identity,neutral,n,bisexual
identity,neutral,n,transgenéro
identity,neutral,n,trans
identity,neutral,m,amanerado
identity,neutral,f,amanerada
identity,neutral,n,lgbt
identity,neutral,n,lgbtq
identity,neutral,n,homosexual
identity,neutral,n,hetero
identity,neutral,n,heterosexual
identity,neutral,m,macho
identity,neutral,f,hembra
identity,neutral,n,nobinario
identity,neutral,m,africano
identity,neutral,f,africana
identity,neutral,m,afroamericano
identity,neutral,f,afroamericana
identity,neutral,m,negro
identity,neutral,f,negra
identity,neutral,m,blanco
identity,neutral,f,blanco
identity,neutral,m,europeo
identity,neutral,f,europea
identity,neutral,m,hispano
identity,neutral,f,hispana
identity,neutral,m,latino
identity,neutral,f,latina
identity,neutral,n,latinx
identity,neutral,m,mexicano
identity,neutral,f,mexicana
identity,neutral,n,canadiense
identity,neutral,m,americano
identity,neutral,f,americana
identity,neutral,m,asiatico
identity,neutral,f,asiatica
identity,neutral,m,indio
identity,neutral,f,india
identity,neutral,n,medio oriental
identity,neutral,m,chino
identity,neutral,f,china
identity,neutral,m,japonés
identity,neutral,f,japonésa
identity,neutral,m,cristiano
identity,neutral,f,cristiana
identity,neutral,f,musulmana
identity,neutral,m,musulman
identity,neutral,m,judio
identity,neutral,f,judia
