template,toxicity,phrase
I_am_identity,nontoxic,أنا {type|identity_connotation|neutral_gender|m}
I_am_identity,nontoxic,أنا {type|identity_connotation|neutral_gender|f}
I_am_identity,nontoxic,أنا {type|identity_connotation|neutral_gender|n}
I_hate_identity_people,toxic,أنا أكره {type|identity_connotation|neutral_gender|m}
I_hate_identity_people,toxic,أنا أكره {type|identity_connotation|neutral_gender|f}
I_hate_identity_people,toxic,أنا أكره {type|identity_connotation|neutral_gender|n}
being_identity_is_adj,nontoxic,أن تكون {type|identity_connotation|neutral_gender|m} هو أمر {type|adjective_connotation|nontoxic_gender|m}
being_identity_is_adj,nontoxic,أن تكون {type|identity_connotation|neutral_gender|m} هو أمر {type|adjective_connotation|nontoxic_gender|n}
being_identity_is_adj,nontoxic,أن تكون {type|identity_connotation|neutral_gender|f} هو أمر {type|adjective_connotation|nontoxic_gender|f}
being_identity_is_adj,nontoxic,أن تكون {type|identity_connotation|neutral_gender|f} هو أمر {type|adjective_connotation|nontoxic_gender|n}
being_identity_is_adj,nontoxic,أن تكون {type|identity_connotation|neutral_gender|n} هو أمر {type|adjective_connotation|nontoxic_gender|m}
being_identity_is_adj,nontoxic,أن تكون {type|identity_connotation|neutral_gender|n} هو أمر {type|adjective_connotation|nontoxic_gender|f}
being_identity_is_adj,nontoxic,أن تكون {type|identity_connotation|neutral_gender|n} هو أمر {type|adjective_connotation|nontoxic_gender|n}
being_identity_is_adj,toxic,أن تكون {type|identity_connotation|neutral_gender|m} هو أمر {type|adjective_connotation|toxic_gender|m}
being_identity_is_adj,toxic,أن تكون {type|identity_connotation|neutral_gender|m} هو أمر {type|adjective_connotation|toxic_gender|n}
being_identity_is_adj,toxic,أن تكون {type|identity_connotation|neutral_gender|f} هو أمر {type|adjective_connotation|toxic_gender|f}
being_identity_is_adj,toxic,أن تكون {type|identity_connotation|neutral_gender|f} هو أمر {type|adjective_connotation|toxic_gender|n}
being_identity_is_adj,toxic,أن تكون {type|identity_connotation|neutral_gender|n} هو أمر {type|adjective_connotation|toxic_gender|m}
being_identity_is_adj,toxic,أن تكون {type|identity_connotation|neutral_gender|n} هو أمر {type|adjective_connotation|toxic_gender|f}
being_identity_is_adj,toxic,أن تكون {type|identity_connotation|neutral_gender|n} هو أمر {type|adjective_connotation|toxic_gender|n}
you_are_a_adjective_identity_person,nontoxic,أنت شخص {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|m}
you_are_a_adjective_identity_person,nontoxic,أنت شخص {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|m}
you_are_a_adjective_identity_person,nontoxic,أنت شخص {type|adjective_connotation|nontoxic_gender|f} {type|identity_connotation|neutral_gender|f}
you_are_a_adjective_identity_person,nontoxic,أنت شخص {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|f}
you_are_a_adjective_identity_person,nontoxic,أنت شخص {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|n}
you_are_a_adjective_identity_person,nontoxic,أنت شخص {type|adjective_connotation|nontoxic_gender|f} {type|identity_connotation|neutral_gender|n}
you_are_a_adjective_identity_person,nontoxic,أنت شخص {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|n}
you_are_a_adjective_identity_person,toxic,أنت شخص {type|adjective_connotation|toxic_gender|m} {type|identity_connotation|neutral_gender|m}
