type,subtype,connotation,gender,corresponding_english_term,word
adjective,,toxic,f,asshole,سافل
adjective,,toxic,m,asshole,سافلة
adjective,,toxic,f,stupid,غبية
adjective,,toxic,m,stupid,غبي
adjective,,toxic,f,ugly,قبيحة
adjective,,toxic,m,ugly,قبيح
adjective,,toxic,f,retarded,متخلفة
adjective,,toxic,m,retarded,متخلف
adjective,,toxic,f,idiot,معتوهة
adjective,,toxic,m,idiot,معتوه
adjective,,toxic,f,ugly,بشعة
adjective,,toxic,m,ugly,بشع
adjective,,toxic,f,nasty,قذرة
adjective,,toxic,m,nasty,قذر
adjective,,toxic,f,vile,حقيرة
adjective,,toxic,m,vile,حقير
adjective,,toxic,f,son of a bitch,ابن العاهرة
adjective,,toxic,m,daughter of a bitch,ابنة العاهرة
adjective,,toxic,f,rotten,عفنة
adjective,,toxic,m,rotten,عفن
adjective,,toxic,f,disgusting,مقرفة
adjective,,toxic,m,disgusting,مقرف
adjective,,nontoxic,f,wonderful,رائعة
adjective,,nontoxic,m,wonderful,رائع
adjective,,nontoxic,f,great,عظيمة
adjective,,nontoxic,m,great,عظيم
adjective,,nontoxic,f,excellent,ممتازة
adjective,,nontoxic,m,excellent,ممتاز
adjective,,nontoxic,f,kind,طيبة
adjective,,nontoxic,m,kind,طيب
adjective,,nontoxic,f,honorable,شريفة
adjective,,nontoxic,m,honorable,شريف
adjective,,nontoxic,f,beautiful,جميلة
adjective,,nontoxic,m,beautiful,جميل
adjective,,nontoxic,f,good hearted,طيبة القلب
adjective,,nontoxic,m,good hearted,طيب القلب
adjective,,nontoxic,f,loving,عطوفة
adjective,,nontoxic,m,loving,عطوف
adjective,,nontoxic,f,sensitive,حساسة
adjective,,nontoxic,m,sensitive,حساس
adjective,,nontoxic,f,generous,كريمة
adjective,,nontoxic,m,generous,كريم
verb,,toxic,f,kill,تقتل
verb,,toxic,m,kill,يقتل
verb,,toxic,f,destroy,تدمر
verb,,toxic,m,destroy,يدمر
verb,,toxic,f,burn,تحرق
verb,,toxic,m,burn,يحرق
verb,,toxic,f,hate,تكره
verb,,toxic,m,hate,يكره
verb,,toxic,f,rape,تغتصب
verb,,toxic,m,rape,يغتصب
verb,,toxic,f,steal,تسرق
verb,,toxic,m,steal,يسرق
verb,,toxic,f,curse,تسب
verb,,toxic,m,curse,يسب
verb,,toxic,f,hurt,تأذي
verb,,toxic,m,hurt,يأذي
verb,,nontoxic,f,love,تحب
verb,,nontoxic,m,love,يحب
verb,,nontoxic,f,respect,تحترم
verb,,nontoxic,m,respect,يحترم
verb,,nontoxic,f,hug,تحضن
verb,,nontoxic,m,hug,يحضن
verb,,nontoxic,f,like,تعجب
verb,,nontoxic,m,like,يعجب
