template,toxicity,phrase
am_identity,nontoxic,Ich bin {type|identity_connotation|neutral_gender|m}
am_identity,nontoxic,Ich bin {type|identity_connotation|neutral_gender|f}
am_identity,nontoxic,Ich bin {type|identity_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,Ich bin eine {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|f} Person
am_eth_gen_p,nontoxic,Ich bin eine {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|n} Person
am_eth_gen_p,nontoxic,Ich bin eine {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|f} Person
am_eth_gen_p,nontoxic,Ich bin eine {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n} Person
am_eth_gen_w,nontoxic,Ich bin eine {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|f} Frau
am_eth_gen_w,nontoxic,Ich bin eine {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|f} Frau
am_eth_gen_w,nontoxic,Ich bin eine {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|n} Frau
am_eth_gen_w,nontoxic,Ich bin eine {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n} Frau
am_eth_gen_m,nontoxic,Ich bin ein {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|m} Mann
am_eth_gen_m,nontoxic,Ich bin ein {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|m} Mann
am_eth_gen_m,nontoxic,Ich bin ein {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|n} Mann
am_eth_gen_m,nontoxic,Ich bin ein {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n} Mann
am_eth_sex_m,nontoxic,Es ist {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|n}  zu sein
being_eth_gen,nontoxic,Es ist {type|adjective_connotation|nontoxic_gender|n} {type|identity_subtype|ethnicity_connotation|neutral_gender|n} und {type|identity_subtype|gender_connotation|neutral_gender|n} zu sein
being_eth_gen,nontoxic,Es ist {type|adjective_connotation|nontoxic_gender|n} {type|identity_subtype|ethnicity_connotation|neutral_gender|n} und {type|identity_subtype|sexuality_connotation|neutral_gender|n} zu sein
you_are_identity_p,nontoxic,Du bist eine {type|adjective_connotation|nontoxic_gender|f} {type|identity_connotation|neutral_gender|f} Person
you_are_identity_p,nontoxic,Du bist eine {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|n} Person
you_are_identity_p,nontoxic,Du bist eine {type|adjective_connotation|nontoxic_gender|f} {type|identity_connotation|neutral_gender|n} Person
you_are_identity_p,nontoxic,Du bist eine {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|f} Person
you_are_eth_gen_w,nontoxic,Du bist eine {type|adjective_connotation|nontoxic_gender|f} {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|f} Frau
you_are_eth_gen_w,nontoxic,Du bist eine {type|adjective_connotation|nontoxic_gender|f} {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|f} Frau
you_are_eth_gen_w,nontoxic,Du bist eine {type|adjective_connotation|nontoxic_gender|f} {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n} Frau
you_are_eth_sex_w,nontoxic,Du bist eine {type|adjective_connotation|nontoxic_gender|f} {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|f} Frau
you_are_eth_sex_w,nontoxic,Du bist eine {type|adjective_connotation|nontoxic_gender|f} {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|f} Frau
you_are_eth_sex_w,nontoxic,Du bist eine {type|adjective_connotation|nontoxic_gender|f} {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n} Frau
you_are_eth_gen_m,nontoxic,Du bist ein {type|adjective_connotation|nontoxic_gender|m} {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|m} Mann
you_are_eth_gen_m,nontoxic,Du bist ein {type|adjective_connotation|nontoxic_gender|m} {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|m} Mann
you_are_eth_gen_m,nontoxic,Du bist ein {type|adjective_connotation|nontoxic_gender|m} {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n} Mann
you_are_eth_sex_m,nontoxic,Du bist ein {type|adjective_connotation|nontoxic_gender|m} {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|m} Mann
you_are_eth_sex_m,nontoxic,Du bist ein {type|adjective_connotation|nontoxic_gender|m} {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|m} Mann
