type,subtype,connotation,gender,word
name,,neutral,f,Anna
name,,neutral,m,Abdul
name,,neutral,m,Arthur
name,,neutral,f,Aylin
name,,neutral,m,Alex
name,,neutral,m,Andreas
name,,neutral,m,Ali
name,,neutral,f,Anastasia
name,,neutral,f,Angela
name,,neutral,f,Alina
name,,neutral,f,Bianca
name,,neutral,m,Ben
name,,neutral,m,Chris
name,,neutral,m,David
name,,neutral,f,Elisabeth
name,,neutral,m,Erik
name,,neutral,m,Hendrik
name,,neutral,f,Hanna
name,,neutral,f,Ida
name,,neutral,f,Julia
name,,neutral,m,Julian
name,,neutral,m,Jonas
name,,neutral,f,Lea
name,,neutral,m,Lukas
name,,neutral,f,Lena
name,,neutral,m,Marius
name,,neutral,m,Maximilian
name,,neutral,f,Marie
name,,neutral,m,Mehmet
name,,neutral,m,Mohammed
name,,neutral,m,Michael
name,,neutral,m,Mia
name,,neutral,m,Nils
name,,neutral,m,Ralf
name,,neutral,m,Stefan
name,,neutral,f,Sarah
name,,neutral,m,Simon
name,,neutral,m,Sebastian
name,,neutral,f,Samira
name,,neutral,m,Timo
name,,neutral,m,Yasin
name,,neutral,f,Yasmin
name,,neutral,m,Zahid
name,,neutral,f,Zoe
name,,neutral,m,Wladimir
adjective,,toxic,n,dreckig
adjective,,toxic,n,dreckiger
adjective,,toxic,n,ekelig
adjective,,toxic,m,ekeliger
adjective,,toxic,f,ekelige
adjective,,toxic,n,verfault
adjective,,toxic,n,verfaulter
adjective,,toxic,n,abscheulich
adjective,,toxic,n,abscheulicher
adjective,,toxic,n,abartig
adjective,,toxic,m,abartiger
adjective,,toxic,f,abartige
adjective,,toxic,n,schrecklich
adjective,,toxic,m,schrecklicher
adjective,,toxic,f,schreckliche
adjective,,toxic,n,furchtbar
adjective,,toxic,m,furchtbarer
adjective,,toxic,f,furchtbare
adjective,,toxic,n,widerlich
adjective,,toxic,m,widerlicher
adjective,,toxic,f,widerliche
adjective,,toxic,n,ekelhaft
adjective,,toxic,m,ekelhafter
adjective,,toxic,f,ekelhafte
adjective,,toxic,n,idiotisch
adjective,,toxic,m,idiotischer
adjective,,toxic,f,idiotische
adjective,,toxic,n,blöd
adjective,,toxic,m,blöder
adjective,,toxic,f,blöde
adjective,,toxic,n,dämlich
adjective,,toxic,m,dämlicher
adjective,,toxic,f,dämliche
adjective,,toxic,n,dumm
adjective,,toxic,m,dummer
adjective,,toxic,f,dumme
adjective,,toxic,n,hässlich
adjective,,toxic,m,hässlicher
adjective,,toxic,f,hässliche
adjective,,toxic,n,scheiße
adjective,,toxic,n,gefickt
adjective,,toxic,m,gefickter
adjective,,toxic,f,gefickte
adjective,,nontoxic,n,super
adjective,,nontoxic,n,lustig
adjective,,nontoxic,m,lustiger
adjective,,nontoxic,f,lustige
adjective,,nontoxic,n,nett
adjective,,nontoxic,m,netter
adjective,,nontoxic,f,nette
adjective,,nontoxic,n,ordentlich
