template,toxicity,phrase
am_identity,nontoxic,Yo soy {type|identity_connotation|neutral_gender|m}
am_identity,nontoxic,Yo soy {type|identity_connotation|neutral_gender|f}
am_identity,nontoxic,Yo soy {type|identity_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,Yo soy un {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|m}
am_eth_gen_p,nontoxic,Yo soy un {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,Yo soy un {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|m}
am_eth_gen_p,nontoxic,Yo soy un {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,Yo soy una {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|f}
am_eth_gen_p,nontoxic,Yo soy una {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,Yo soy una {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|f}
am_eth_gen_p,nontoxic,Yo soy una {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,Yo soy un {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|m}
am_eth_sex_p,nontoxic,Yo soy un {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,Yo soy un {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|m}
am_eth_sex_p,nontoxic,Yo soy un {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,Yo soy una {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|f}
am_eth_sex_p,nontoxic,Yo soy una {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,Yo soy una {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|f}
am_eth_sex_p,nontoxic,Yo soy una {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_gen_w,nontoxic,Yo soy una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|f}
am_eth_gen_w,nontoxic,Yo soy una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_w,nontoxic,Yo soy una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|f}
am_eth_gen_w,nontoxic,Yo soy una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_sex_w,nontoxic,Yo soy una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|f}
am_eth_sex_w,nontoxic,Yo soy una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_w,nontoxic,Yo soy una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|f}
am_eth_sex_w,nontoxic,Yo soy una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_gen_m,nontoxic,Yo soy un hombre {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|m}
am_eth_gen_m,nontoxic,Yo soy un hombre {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_m,nontoxic,Yo soy un hombre {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|m}
am_eth_gen_m,nontoxic,Yo soy un hombre {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_sex_m,nontoxic,Yo soy un hombre {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|m}
am_eth_sex_m,nontoxic,Yo soy un hombre {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_m,nontoxic,Yo soy un hombre {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|m}
am_eth_sex_m,nontoxic,Yo soy un hombre {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_m,nontoxic,Ser {type|identity_connotation|neutral_gender|m} es {type|adjective_connotation|nontoxic_gender|m}
am_eth_sex_m,nontoxic,Ser {type|identity_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|m}
am_eth_sex_m,nontoxic,Ser {type|identity_connotation|neutral_gender|m} es {type|adjective_connotation|nontoxic_gender|n}
am_eth_sex_m,nontoxic,Ser {type|identity_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|n}
am_eth_sex_m,nontoxic,Ser {type|identity_connotation|neutral_gender|f} es {type|adjective_connotation|nontoxic_gender|f}
am_eth_sex_m,nontoxic,Ser {type|identity_connotation|neutral_gender|f} es {type|adjective_connotation|nontoxic_gender|n}
am_eth_sex_m,nontoxic,Ser {type|identity_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|f}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|m} y {type|identity_subtype|gender_connotation|neutral_gender|m} es {type|adjective_connotation|nontoxic_gender|m}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|gender_connotation|neutral_gender|m} es {type|adjective_connotation|nontoxic_gender|m}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|gender_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|m}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|m} y {type|identity_subtype|gender_connotation|neutral_gender|m} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|gender_connotation|neutral_gender|m} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|m} y {type|identity_subtype|gender_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|m}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|m} y {type|identity_subtype|gender_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|gender_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|f} y {type|identity_subtype|gender_connotation|neutral_gender|f} es {type|adjective_connotation|nontoxic_gender|f}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|gender_connotation|neutral_gender|f} es {type|adjective_connotation|nontoxic_gender|f}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|gender_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|f}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|f} y {type|identity_subtype|gender_connotation|neutral_gender|f} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|gender_connotation|neutral_gender|f} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|f} y {type|identity_subtype|gender_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|f}
being_eth_gen,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|f} y {type|identity_subtype|gender_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|m} y {type|identity_subtype|sexuality_connotation|neutral_gender|m} es {type|adjective_connotation|nontoxic_gender|m}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|sexuality_connotation|neutral_gender|m} es {type|adjective_connotation|nontoxic_gender|m}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|sexuality_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|m}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|m} y {type|identity_subtype|sexuality_connotation|neutral_gender|m} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|sexuality_connotation|neutral_gender|m} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|m} y {type|identity_subtype|sexuality_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|m}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|m} y {type|identity_subtype|sexuality_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|sexuality_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|f} y {type|identity_subtype|sexuality_connotation|neutral_gender|f} es {type|adjective_connotation|nontoxic_gender|f}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|sexuality_connotation|neutral_gender|f} es {type|adjective_connotation|nontoxic_gender|f}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|sexuality_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|f}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|f} y {type|identity_subtype|sexuality_connotation|neutral_gender|f} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|n} y {type|identity_subtype|sexuality_connotation|neutral_gender|f} es {type|adjective_connotation|nontoxic_gender|n}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|f} y {type|identity_subtype|sexuality_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|f}
being_eth_sex,nontoxic,Ser {type|identity_subtype|ethnicity_connotation|neutral_gender|f} y {type|identity_subtype|sexuality_connotation|neutral_gender|n} es {type|adjective_connotation|nontoxic_gender|n}
you_are_identity_p,nontoxic,Tu eres una persona {type|identity_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|m}
you_are_identity_p,nontoxic,Tu eres una persona {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|m}
you_are_identity_p,nontoxic,Tu eres una persona {type|identity_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|n}
you_are_identity_p,nontoxic,Tu eres una persona {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|n}
you_are_identity_p,nontoxic,Tu eres una persona {type|identity_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|f}
you_are_identity_p,nontoxic,Tu eres una persona {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|f}
you_are_identity_p,nontoxic,Tu eres una persona {type|identity_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|n}
you_are_eth_gen_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|f}
you_are_eth_gen_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|n}
you_are_eth_gen_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|n}
you_are_eth_gen_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|n}
you_are_eth_gen_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|f}
you_are_eth_gen_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|f}
you_are_eth_gen_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|n}
you_are_eth_gen_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|f}
you_are_eth_sex_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|f}
you_are_eth_sex_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|n}
you_are_eth_sex_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|n}
you_are_eth_sex_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|n}
you_are_eth_sex_w,nontoxic,Tu eres una mujer {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|f}
