type,subtype,connotation,gender,word
adjective,,toxic,n,desagradable
adjective,,toxic,m,sucio
adjective,,toxic,f,sucia
adjective,,toxic,m,asqueroso
adjective,,toxic,f,asquerosa
adjective,,toxic,m,podrído
adjective,,toxic,f,podrída
adjective,,toxic,n,horrible
adjective,,toxic,n,terrible
adjective,,toxic,m,horrendo
adjective,,toxic,f,horrenda
adjective,,toxic,m,repulsivo
adjective,,toxic,f,repulsiva
adjective,,toxic,n,vil
adjective,,toxic,n,idiota
adjective,,toxic,m,estúpido
adjective,,toxic,f,estúpida
adjective,,toxic,n,imbecíl
adjective,,toxic,m,tonto
adjective,,toxic,f,tonta
adjective,,toxic,m,feo
adjective,,toxic,f,fea
adjective,,toxic,n,mierda
adjective,,toxic,m,jodido
adjective,,toxic,f,jodida
adjective,,nontoxic,m,grandioso
adjective,,nontoxic,f,grandiosa
adjective,,nontoxic,m,entretenido
adjective,,nontoxic,f,entretenida
adjective,,nontoxic,m,lindo
adjective,,nontoxic,f,linda
adjective,,nontoxic,m,estupendo
adjective,,nontoxic,f,estupenda
adjective,,nontoxic,n,feliz
adjective,,nontoxic,m,bueno
adjective,,nontoxic,f,buena
adjective,,nontoxic,n,mejor
adjective,,nontoxic,m,fantastico
adjective,,nontoxic,f,fantastica
adjective,,nontoxic,m,maravilloso
adjective,,nontoxic,f,maravillosa
adjective,,nontoxic,m,encantador
adjective,,nontoxic,f,encantadora
adjective,,nontoxic,n,excelente
adjective,,nontoxic,n,increíble
adjective,,nontoxic,m,amistoso
adjective,,nontoxic,f,amistosa
adjective,,nontoxic,m,gracioso
adjective,,nontoxic,f,graciosa
adjective,,nontoxic,m,generoso
adjective,,nontoxic,f,generosa
adjective,,nontoxic,m,preocupado
adjective,,nontoxic,f,preocupada
identity,sexuality,neutral,f,lesbiana
identity,sexuality,neutral,n,gay
identity,sexuality,neutral,n,bisexual
identity,gender,neutral,m,transgénero
identity,gender,neutral,f,transgénera
identity,gender,neutral,m,transgenero
identity,gender,neutral,f,transgenera
identity,gender,neutral,n,transgender
identity,gender,neutral,n,transexual
identity,gender,neutral,n,trans
identity,gender,neutral,m,amanerado
identity,gender,neutral,f,amanerada
identity,sexuality,neutral,n,lgbt
identity,sexuality,neutral,n,lgbtq
identity,sexuality,neutral,n,homosexual
identity,sexuality,neutral,n,hetero
identity,sexuality,neutral,n,heterosexual
identity,sexuality,neutral,m,macho
identity,sexuality,neutral,f,hembra
identity,sexuality,neutral,n,nobinario
identity,ethnicity,neutral,m,africano
identity,ethnicity,neutral,f,africana
identity,ethnicity,neutral,m,afroamericano
identity,ethnicity,neutral,f,afroamericana
identity,ethnicity,neutral,m,negro
identity,ethnicity,neutral,f,negra
identity,ethnicity,neutral,m,blanco
identity,ethnicity,neutral,f,blanca
identity,ethnicity,neutral,m,europeo
identity,ethnicity,neutral,f,europea
identity,ethnicity,neutral,m,hispano
identity,ethnicity,neutral,f,hispana
identity,ethnicity,neutral,m,latino
