template,toxicity,phrase
am_identity,nontoxic,Je suis un {type|identity_connotation|neutral_gender|m}
am_identity,nontoxic,Je suis une {type|identity_connotation|neutral_gender|f}
am_identity,nontoxic,Je suis un {type|identity_connotation|neutral_gender|n}
am_identity,nontoxic,Je suis une {type|identity_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,Je suis un {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|m}
am_eth_gen_p,nontoxic,Je suis un {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,Je suis un {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|m}
am_eth_gen_p,nontoxic,Je suis un {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,Je suis une {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|f}
am_eth_gen_p,nontoxic,Je suis une {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,Je suis une {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|f}
am_eth_gen_p,nontoxic,Je suis une {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,Je suis un {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|m}
am_eth_sex_p,nontoxic,Je suis un {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,Je suis un {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|m}
am_eth_sex_p,nontoxic,Je suis un {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,Je suis une {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|f}
am_eth_sex_p,nontoxic,Je suis une {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,Je suis une {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|f}
am_eth_sex_p,nontoxic,Je suis une {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_gen_w,nontoxic,Je suis une femme {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|f}
am_eth_gen_w,nontoxic,Je suis une femme {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_w,nontoxic,Je suis une femme {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|f}
am_eth_gen_w,nontoxic,Je suis une femme {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_sex_w,nontoxic,Je suis une femme {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|f}
am_eth_sex_w,nontoxic,Je suis une femme {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_w,nontoxic,Je suis une femme {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|f}
am_eth_sex_w,nontoxic,Je suis une femme {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_gen_m,nontoxic,Je suis un homme {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|m}
am_eth_gen_m,nontoxic,Je suis un homme {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_m,nontoxic,Je suis un homme {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|m}
am_eth_gen_m,nontoxic,Je suis un homme {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_sex_m,nontoxic,Je suis un homme {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|m}
am_eth_sex_m,nontoxic,Je suis un homme {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_m,nontoxic,Je suis un homme {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|m}
am_eth_sex_m,nontoxic,Je suis un homme {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
