template,toxicity,phrase
type|verb_adj,nontoxic,{type|verb_connotation|nontoxic_gender|n} les {type|identity_connotation|neutral_gender|f}
type|verb_adj,nontoxic,{type|verb_connotation|nontoxic_gender|n} les {type|identity_connotation|neutral_gender|m}
type|verb_adj,nontoxic,{type|verb_connotation|nontoxic_gender|n} les {type|identity_connotation|neutral_gender|n}
am_hate_adj,nontoxic,Je suis {type|identity_connotation|neutral_gender|n}
am_hate_adj,nontoxic,Je suis {type|identity_connotation|neutral_gender|m}
am_hate_adj,nontoxic,Je suis {type|identity_connotation|neutral_gender|f}
being_adj,nontoxic,C’est {type|adjective_connotation|nontoxic_gender|m} d’être {type|identity_connotation|neutral_gender|f}
being_adj,nontoxic,C’est {type|adjective_connotation|nontoxic_gender|m} d’être {type|identity_connotation|neutral_gender|m}
being_adj,nontoxic,C’est {type|adjective_connotation|nontoxic_gender|m} d’être {type|identity_connotation|neutral_gender|n}
being_adj,nontoxic,C’est {type|adjective_connotation|nontoxic_gender|n} d’être {type|identity_connotation|neutral_gender|f}
being_adj,nontoxic,C’est {type|adjective_connotation|nontoxic_gender|n} d’être {type|identity_connotation|neutral_gender|m}
being_adj,nontoxic,C’est {type|adjective_connotation|nontoxic_gender|n} d’être {type|identity_connotation|neutral_gender|n}
,nontoxic,Je suis fière d’être {type|identity_connotation|neutral_gender|f}
,nontoxic,Je suis fier d’être {type|identity_connotation|neutral_gender|m}
,nontoxic,Je suis fier d’être {type|identity_connotation|neutral_gender|n}
being_adj,nontoxic,Les {type|identity_connotation|neutral_gender|m} sont {type|adjective_connotation|nontoxic_gender|m}
being_adj,nontoxic,Les {type|identity_connotation|neutral_gender|n} sont {type|adjective_connotation|nontoxic_gender|m}
being_adj,nontoxic,Les {type|identity_connotation|neutral_gender|m} sont {type|adjective_connotation|nontoxic_gender|n}
being_adj,nontoxic,Les {type|identity_connotation|neutral_gender|n} sont {type|adjective_connotation|nontoxic_gender|n}
being_adj,nontoxic,Les {type|identity_connotation|neutral_gender|f} sont {type|adjective_connotation|nontoxic_gender|f}
being_adj,nontoxic,Les {type|identity_connotation|neutral_gender|f} sont {type|adjective_connotation|nontoxic_gender|n}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|m} est un {type|identity_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|m}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|m} est un {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|m}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|m} est un {type|identity_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|n}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|m} est un {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|n}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|m} est un {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|m}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|m} est un {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|n}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|m} est un {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|m}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|m} est un {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|n}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|f} est une {type|identity_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|f}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|f} est une {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|f}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|f} est une {type|identity_connotation|neutral_gender|f} {type|adjective_connotation|nontoxic_gender|n}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|f} est une {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|n}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|f} est une {type|adjective_connotation|nontoxic_gender|f} {type|identity_connotation|neutral_gender|f}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|f} est une {type|adjective_connotation|nontoxic_gender|f} {type|identity_connotation|neutral_gender|n}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|f} est une {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|f}
type|name_adj,nontoxic,{type|name_connotation|neutral_gender|f} est une {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|n}
,nontoxic,Tu es un {type|identity_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|m}
,nontoxic,Tu es un {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|m}
,nontoxic,Tu es un {type|identity_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|n}
,nontoxic,Tu es un {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|n}
,nontoxic,Tu es un {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|m}
