type,subtype,connotation,gender,word
adjective,,toxic,f,affreuse
adjective,,toxic,m,affreux
adjective,,toxic,n,crade
adjective,,toxic,f,dangereuse
adjective,,toxic,m,dangereux
adjective,,toxic,n,dégoûtant
adjective,,toxic,f,dégoûtante
adjective,,toxic,n,dégueu
adjective,,toxic,n,dégueulasse
adjective,,toxic,n,désagréable
adjective,,toxic,n,détestable
adjective,,toxic,f,folle
adjective,,toxic,m,fou
adjective,,toxic,n,horrible
adjective,,toxic,m,idiot
adjective,,toxic,f,idiote
adjective,,toxic,n,ignoble
adjective,,toxic,n,moche
adjective,,toxic,m,malveillant
adjective,,toxic,f,malveillante
adjective,,toxic,n,nul
adjective,,toxic,f,odieuse
adjective,,toxic,m,odieux
adjective,,toxic,n,pourri
adjective,,toxic,f,pourrie
adjective,,toxic,m,repoussant
adjective,,toxic,f,repoussante
adjective,,toxic,m,répugnant
adjective,,toxic,f,répugnante
adjective,,toxic,n,sale
adjective,,toxic,n,stupide
adjective,,toxic,m,vilain
adjective,,toxic,f,vilaine
adjective,,nontoxic,m,attirant
adjective,,nontoxic,f,attirante
adjective,,nontoxic,n,beau
adjective,,nontoxic,m,bienveillant
adjective,,nontoxic,f,bienveillante
adjective,,nontoxic,n,chouette
adjective,,nontoxic,n,cool
adjective,,nontoxic,m,excellent
adjective,,nontoxic,f,excellente
adjective,,nontoxic,n,fantastique
adjective,,nontoxic,f,généreuse
adjective,,nontoxic,m,généreux
adjective,,nontoxic,m,génial
adjective,,nontoxic,f,géniale
adjective,,nontoxic,n,bien
adjective,,nontoxic,n,magnifique
adjective,,nontoxic,m,meilleur
adjective,,nontoxic,f,meilleure
adjective,,nontoxic,n,super
adjective,,nontoxic,n,sympa
adjective,,nontoxic,n,sympathique
identity,age,neutral,n,ado
identity,age,neutral,m,adolescent
identity,age,neutral,f,adolescente
identity,ethnicity,neutral,m,africain
identity,ethnicity,neutral,f,africaine
identity,ethnicity,neutral,m,algérien
identity,ethnicity,neutral,m,algerien
identity,ethnicity,neutral,f,algérienne
identity,ethnicity,neutral,f,algerienne
identity,ethnicity,neutral,m,allemand
identity,ethnicity,neutral,f,allemande
identity,ethnicity,neutral,m,américain
identity,ethnicity,neutral,m,americain
identity,ethnicity,neutral,f,américaine
identity,ethnicity,neutral,f,americaine
identity,ethnicity,neutral,m,anglais
identity,ethnicity,neutral,f,anglaise
identity,ethnicity,neutral,n,asiatique
