template,toxicity,phrase
i_am_identity,nontoxic,ma {type|identity_connotation|neutral_gender|m} hu
i_am_identity,nontoxic,ma {type|identity_connotation|neutral_gender|f} hu
i_am_identity,nontoxic,ma {type|identity_connotation|neutral_gender|n} hu
i_am_identity,nontoxic,mae {type|identity_connotation|neutral_gender|m} hon
i_am_identity,nontoxic,mae {type|identity_connotation|neutral_gender|f} hon
i_am_identity,nontoxic,mae {type|identity_connotation|neutral_gender|n} hon
i_am_identity,nontoxic,mai {type|identity_connotation|neutral_gender|m} hoon
i_am_identity,nontoxic,mai {type|identity_connotation|neutral_gender|f} hoon
i_am_identity,nontoxic,mai {type|identity_connotation|neutral_gender|n} hoon
i_am_identity,nontoxic,mai {type|identity_connotation|neutral_gender|m} hu
i_am_identity,nontoxic,mai {type|identity_connotation|neutral_gender|f} hu
i_am_identity,nontoxic,mai {type|identity_connotation|neutral_gender|n} hu
i_am_identity,nontoxic,mai {type|identity_connotation|neutral_gender|m} hun
i_am_identity,nontoxic,mai {type|identity_connotation|neutral_gender|f} hun
i_am_identity,nontoxic,mai {type|identity_connotation|neutral_gender|n} hun
i_am_identity,nontoxic,maie {type|identity_connotation|neutral_gender|m} hun
i_am_identity,nontoxic,maie {type|identity_connotation|neutral_gender|f} hun
i_am_identity,nontoxic,maie {type|identity_connotation|neutral_gender|n} hun
i_am_identity,nontoxic,man {type|identity_connotation|neutral_gender|m} hoon
i_am_identity,nontoxic,man {type|identity_connotation|neutral_gender|f} hoon
i_am_identity,nontoxic,man {type|identity_connotation|neutral_gender|n} hoon
i_am_identity,nontoxic,men {type|identity_connotation|neutral_gender|m} hu
i_am_identity,nontoxic,men {type|identity_connotation|neutral_gender|f} hu
i_am_identity,nontoxic,men {type|identity_connotation|neutral_gender|n} hu
i_hate_identity_people,toxic,mujhay {type|identity_connotation|neutral_gender|m} logon se nafrata hain
i_hate_identity_people,toxic,mujhay {type|identity_connotation|neutral_gender|f} logon se nafrata hain
i_hate_identity_people,toxic,mujhay {type|identity_connotation|neutral_gender|n} logon se nafrata hain
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|m} loggon se nafrat hain
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|f} loggon se nafrat hain
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|n} loggon se nafrat hain
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|m} logo sa nafarat ha
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|f} logo sa nafarat ha
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|n} logo sa nafarat ha
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|m} logo sae nafrt ha
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|f} logo sae nafrt ha
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|n} logo sae nafrt ha
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|m} logo sey nafrt hen
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|f} logo sey nafrt hen
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|n} logo sey nafrt hen
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|m} logo she nfrat hen
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|f} logo she nfrat hen
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|n} logo she nfrat hen
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|m} logon say nafrat ha
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|f} logon say nafrat ha
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|n} logon say nafrat ha
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|m} logon se nafrat hain
i_hate_identity_people,toxic,mujhe {type|identity_connotation|neutral_gender|f} logon se nafrat hain
