type,subtype,connotation,gender,corresponding_english_term,word
name,,neutral,,Abdul,Abdul
name,,neutral,,Agustín,Agustín
name,,neutral,,Aishah,Aishah
name,,neutral,,Aki,Aki
name,,neutral,,Alva,Alva
name,,neutral,,Anastasiya,Anastasiya
name,,neutral,,Angela,Angela
name,,neutral,,Anita,Aneeta
name,,neutral,,Baratunde,Baratunde
name,,neutral,,Binh,Binh
name,,neutral,,Chris,Chris
name,,neutral,,Dlshad,Dlshad
name,,neutral,,Elizabeth,Elizabeth
name,,neutral,,Emad,Emad
name,,neutral,,Hiro,Hiro
name,,neutral,,Hoshi,Hoshi
name,,neutral,,Ioannis,Ioannis
name,,neutral,,Javeria,Javeria
name,,neutral,,Jim,Jim
name,,neutral,,Joe,Joe
name,,neutral,,Léa,Lea
name,,neutral,,Liam,Liam
name,,neutral,,Ling,Ling
name,,neutral,,Lucas,Lucas
name,,neutral,,Mahir,Mahir
name,,neutral,,Mateo,Matio
name,,neutral,,Medina,Madina
name,,neutral,,Moeata,Moeata
name,,neutral,,Mohammed,Mohammad
name,,neutral,,Morgan,Morgan
name,,neutral,,Mukhtar,Mukhtar
name,,neutral,,Myesha,Myesha
name,,neutral,,Nithum,Nithum
name,,neutral,,Ramón,Ramón
name,,neutral,,Santiago,Santiago
name,,neutral,,Sara,Sara
name,,neutral,,Sohaib,Soheb
name,,neutral,,Sooyin,Sueen
name,,neutral,,Sulin,Sulin
name,,neutral,,Thel,Thel
name,,neutral,,Ying,Ying
name,,neutral,,Ziv,Ziv
name,,neutral,,Zoe,Zoe
adjective,,toxic,n,disgusting,Kharab
adjective,,toxic,m,disgusting,ghinona
adjective,,toxic,f,disgusting,ghinoni
adjective,,toxic,m,filthy,ganda
adjective,,toxic,f,filthy,gandi
adjective,,toxic,n,rotten,sada
adjective,,toxic,n,horrible,bhayanak
adjective,,toxic,m,terrible,bhadda
adjective,,toxic,n,terrible,bhaddi
adjective,,toxic,n,repulsive,apriya
adjective,,toxic,m,vile,kamina
adjective,,toxic,f,vile,kamini
adjective,,toxic,n,idiotic,murkha
adjective,,toxic,m,stupid,pagal
adjective,,toxic,f,stupid,pagali
adjective,,toxic,n,ugly,badsurat
adjective,,toxic,n,fucked,sambhog
