template,toxicity,phrase
am_identity,nontoxic,lo sono {type|identity_connotation|neutral_gender|m}
am_identity,nontoxic,lo sono {type|identity_connotation|neutral_gender|f}
am_identity,nontoxic,lo sono {type|identity_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,lo sono un {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|m}
am_eth_gen_p,nontoxic,lo sono un {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,lo sono un {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|m}
am_eth_gen_p,nontoxic,lo sono un {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,lo sono una {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|f}
am_eth_gen_p,nontoxic,lo sono una {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,lo sono una {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|f}
am_eth_gen_p,nontoxic,lo sono una {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,lo sono un {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|m}
am_eth_sex_p,nontoxic,lo sono un {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,lo sono un {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|m}
am_eth_sex_p,nontoxic,lo sono un {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
