type,subtype,connotation,gender,word,corresponding_english_term
identity,sexuality,toxic,m,frocio,faggot
identity,sexuality,toxic,m,froci,faggot
identity,sexuality,toxic,m,frocetto,faggot
identity,sexuality,toxic,m,frocetti,faggot
identity,sexuality,toxic,m,ricchione,faggot
identity,sexuality,toxic,m,ricchioncello,faggot
identity,sexuality,toxic,m,recchione,faggot
identity,sexuality,toxic,m,culattone,faggot
identity,sexuality,toxic,m,finocchio,faggot
identity,sexuality,toxic,m,checca,faggot
identity,sexuality,toxic,n,succhiacazzi,faggot
identity,sexuality,toxic,n,succhiacazzi,faggot
identity,sexuality,toxic,n,ciucciacazzo,faggot
identity,sexuality,toxic,n,succhiacazzo,faggot
identity,sexuality,toxic,f,lesbicona,dyke
identity,sexuality,toxic,f,lesbicaccia,dyke
identity,gender,toxic,m,traverstito,transvestite
identity,gender,toxic,f,traverstita,transvestite
identity,ethnicity,toxic,m,negro,nigger
identity,ethnicity,toxic,f,negra,nigger
identity,ethnicity,toxic,m,negraccio,nigger
identity,ethnicity,toxic,f,negraccia,nigger
identity,ethnicity,toxic,n,pelle rossa,redskin
identity,ethnicity,toxic,n,occhi a mandorla,slanty-eye
