type,subtype,connotation,gender,word
name,,neutral,f,Anna
name,,neutral,m,Abdul
name,,neutral,m,Arthur
name,,neutral,f,Aylin
name,,neutral,m,Alex
name,,neutral,m,Andreas
name,,neutral,m,Ali
name,,neutral,f,Anastasia
name,,neutral,f,Angela
name,,neutral,f,Alina
name,,neutral,m,Ben
name,,neutral,m,Chris
name,,neutral,m,David
name,,neutral,f,Elisabeth
name,,neutral,m,Erik
name,,neutral,m,Hendrik
name,,neutral,f,Hanna
name,,neutral,f,Ida
name,,neutral,f,Julia
name,,neutral,m,Julian
name,,neutral,m,Jonas
name,,neutral,f,Lea
name,,neutral,m,Lukas
name,,neutral,f,Lena
name,,neutral,m,Marius
name,,neutral,m,Maximilian
name,,neutral,f,Marie
name,,neutral,m,Mehmet
name,,neutral,m,Mohammed
name,,neutral,m,Michael
name,,neutral,m,Mia
name,,neutral,m,Nils
name,,neutral,m,Ralf
name,,neutral,m,Stefan
name,,neutral,f,Sarah
name,,neutral,m,Simon
name,,neutral,m,Sebastian
name,,neutral,f,Samira
name,,neutral,m,Timo
name,,neutral,m,Yasin
name,,neutral,f,Yasmin
name,,neutral,m,Zahid
name,,neutral,f,Zoe
name,,neutral,m,Wladimir
adjective,,toxic,m,disgustoso
adjective,,toxic,f,disgustosa
adjective,,toxic,m,sporco
adjective,,toxic,f,sporca
adjective,,toxic,m,cattivo
adjective,,toxic,f,cattiva
adjective,,toxic,m,marcio
adjective,,toxic,f,marcia
adjective,,toxic,n,orribile
adjective,,toxic,n,atroce
adjective,,toxic,m,spaventoso
adjective,,toxic,f,spaventosa
adjective,,toxic,n,ripugnante
adjective,,toxic,m,meschino
adjective,,toxic,f,meschina
adjective,,toxic,n,idiota
adjective,,toxic,m,stupido
adjective,,toxic,f,stupida
adjective,,toxic,m,sciocco
adjective,,toxic,f,sciocca
adjective,,toxic,m,ottuso
adjective,,toxic,f,ottusa
adjective,,toxic,m,brutto
adjective,,toxic,f,brutta
adjective,,toxic,m,schifoso
adjective,,toxic,f,schifosa
adjective,,toxic,m,fottuto
adjective,,toxic,f,fottuta
adjective,,nontoxic,m,fantastico
adjective,,nontoxic,f,fantastica
adjective,,nontoxic,n,divertente
adjective,,nontoxic,m,bello
adjective,,nontoxic,f,bella
adjective,,nontoxic,m,pulito
adjective,,nontoxic,f,pulita
adjective,,nontoxic,m,contento
adjective,,nontoxic,f,contenta
adjective,,nontoxic,m,buono
adjective,,nontoxic,f,buona
adjective,,nontoxic,n,migliore
adjective,,nontoxic,m,grandioso
adjective,,nontoxic,f,grandiosa
adjective,,nontoxic,m,meraviglioso
adjective,,nontoxic,f,meravigliosa
adjective,,nontoxic,n,incantevole
adjective,,nontoxic,n,eccellente
adjective,,nontoxic,n,incredibile
adjective,,nontoxic,n,amichevole
adjective,,nontoxic,n,cortese
adjective,,nontoxic,n,gentile
adjective,,nontoxic,m,premuroso
adjective,,nontoxic,f,premurosa
