type,subtype,connotation,gender,term,corresponding_english_term
name,,neutral,f,Anna,
name,,neutral,m,Abdul,
name,,neutral,m,Arthur,
name,,neutral,f,Aylin,
name,,neutral,m,Alex,
name,,neutral,m,Andreas,
name,,neutral,m,Ali,
name,,neutral,f,Anastasia,
name,,neutral,f,Angela,
name,,neutral,f,Alina,
name,,neutral,m,Ben,
name,,neutral,m,Chris,
name,,neutral,m,David,
name,,neutral,f,Elisabeth,
name,,neutral,m,Erik,
name,,neutral,m,Hendrik,
name,,neutral,f,Hanna,
name,,neutral,f,Ida,
name,,neutral,f,Julia,
name,,neutral,m,Julian,
name,,neutral,m,Jonas,
name,,neutral,f,Lea,
name,,neutral,m,Lukas,
name,,neutral,f,Lena,
name,,neutral,m,Marius,
name,,neutral,m,Maximilian,
name,,neutral,f,Marie,
name,,neutral,m,Mehmet,
name,,neutral,m,Mohammed,
name,,neutral,m,Michael,
name,,neutral,m,Mia,
name,,neutral,m,Nils,
name,,neutral,m,Ralf,
name,,neutral,m,Stefan,
name,,neutral,f,Sarah,
name,,neutral,m,Simon,
name,,neutral,m,Sebastian,
name,,neutral,f,Samira,
name,,neutral,m,Timo,
name,,neutral,m,Yasin,
name,,neutral,f,Yasmin,
name,,neutral,m,Zahid,
name,,neutral,f,Zoe,
name,,neutral,m,Wladimir,
adjective,,toxic,m,disgustoso,disgusting
adjective,,toxic,f,disgustosa,disgusting
adjective,,toxic,m,sporco,dirty
adjective,,toxic,f,sporca,dirty
adjective,,toxic,m,cattivo,bad
adjective,,toxic,f,cattiva,bad
adjective,,toxic,m,marcio,rotten
adjective,,toxic,f,marcia,rotten
adjective,,toxic,n,orribile,awful
adjective,,toxic,n,atroce,terrible
adjective,,toxic,m,spaventoso,scary
adjective,,toxic,f,spaventosa,scary
adjective,,toxic,n,ripugnante,revolting
adjective,,toxic,m,meschino,nasty
adjective,,toxic,f,meschina,nasty
adjective,,toxic,n,idiota,idiot
adjective,,toxic,m,stupido,stupid
adjective,,toxic,f,stupida,stupid
adjective,,toxic,m,sciocco,silly
adjective,,toxic,f,sciocca,silly
adjective,,toxic,m,ottuso,thick
adjective,,toxic,f,ottusa,thick
adjective,,toxic,m,brutto,ugly
adjective,,toxic,f,brutta,ugly
adjective,,toxic,m,schifoso,disgusting
adjective,,toxic,f,schifosa,disgusting
adjective,,toxic,m,fottuto,fucking
adjective,,toxic,f,fottuta,fucking
adjective,,nontoxic,m,fantastico,fantastic
adjective,,nontoxic,f,fantastica,fantastic
adjective,,nontoxic,n,divertente,funny
adjective,,nontoxic,m,bello,beautiful
adjective,,nontoxic,f,bella,beautiful
adjective,,nontoxic,m,pulito,clean
adjective,,nontoxic,f,pulita,clean
adjective,,nontoxic,m,contento,happy
adjective,,nontoxic,f,contenta,happy
adjective,,nontoxic,m,buono,good
adjective,,nontoxic,f,buona,good
adjective,,nontoxic,n,migliore,better
adjective,,nontoxic,m,grandioso,great
