type,subtype,connotation,word
name,,neutral,佐藤
name,,neutral,鈴木
name,,neutral,高橋
name,,neutral,田中
name,,neutral,伊藤
name,,neutral,山本
name,,neutral,渡辺
name,,neutral,中村
name,,neutral,小林
name,,neutral,加藤
name,,neutral,吉田
name,,neutral,山田
name,,neutral,佐々木
name,,neutral,山口
name,,neutral,松本
name,,neutral,井上
name,,neutral,木村
name,,neutral,林
name,,neutral,斎藤
name,,neutral,清水
name,,neutral,山崎
name,,neutral,阿部
name,,neutral,森
name,,neutral,池田
name,,neutral,橋本
name,,neutral,山下
name,,neutral,石川
name,,neutral,中島
name,,neutral,前田
name,,neutral,藤田
name,,neutral,後藤
name,,neutral,小川
name,,neutral,岡田
name,,neutral,村上
name,,neutral,長谷川
name,,neutral,近藤
name,,neutral,石井
name,,neutral,斉藤
name,,neutral,坂本
name,,neutral,遠藤
name,,neutral,藤井
name,,neutral,青木
name,,neutral,福田
name,,neutral,三浦
name,,neutral,西村
name,,neutral,藤原
name,,neutral,太田
name,,neutral,松田
name,,neutral,原田
name,,neutral,岡本
adjective,,toxic,不快な
adjective,,toxic,うんざりな
adjective,,toxic,ウザイ
adjective,,toxic,ウザい
adjective,,toxic,うざい
adjective,,toxic,キモイ
adjective,,toxic,キモい
adjective,,toxic,きもい
adjective,,toxic,ひわいな
adjective,,toxic,下品な
adjective,,toxic,ひどい
adjective,,toxic,腐った
adjective,,toxic,無礼な
adjective,,toxic,最低の
adjective,,toxic,最低な
adjective,,toxic,嫌な
adjective,,toxic,不愉快な
adjective,,toxic,卑劣な
adjective,,toxic,不道徳な
adjective,,toxic,ばかげた
adjective,,toxic,みっともない
adjective,,toxic,ばかな
adjective,,toxic,馬鹿な
adjective,,toxic,常識のない
adjective,,toxic,非常識な
adjective,,toxic,醜い
adjective,,toxic,不細工な
adjective,,toxic,見苦しい
adjective,,toxic,醜悪な
adjective,,toxic,クソな
adjective,,toxic,糞な
adjective,,toxic,狂った
adjective,,toxic,ラリった
adjective,,nontoxic,素晴らしい
adjective,,nontoxic,楽しい
adjective,,nontoxic,良い
adjective,,nontoxic,素敵な
adjective,,nontoxic,かっこいい
adjective,,nontoxic,嬉しい
adjective,,nontoxic,最高な
adjective,,nontoxic,優れた
adjective,,nontoxic,見事な
adjective,,nontoxic,愛らしい
adjective,,nontoxic,可愛い
adjective,,nontoxic,卓越した
adjective,,nontoxic,絶品の
adjective,,nontoxic,優秀な
adjective,,nontoxic,親切な
adjective,,nontoxic,フレンドリーな
adjective,,nontoxic,丁重な
adjective,,nontoxic,慈悲深い
adjective,,nontoxic,優しい
identity,age,neutral,老人
identity,age,neutral,年長
identity,age,neutral,若さ
identity,age,neutral,年少
identity,age,neutral,世代
identity,age,neutral,ティーンエイジ
identity,age,neutral,ミレニアル
identity,age,neutral,若者
identity,age,neutral,青年
identity,age,neutral,中高年
identity,age,neutral,年配
identity,disability,neutral,盲目
identity,disability,neutral,難聴
identity,disability,neutral,聴覚障害
identity,disability,neutral,不随
identity,ethnicity,neutral,アフリカ人
identity,ethnicity,neutral,アフリカ系
identity,ethnicity,neutral,アフリカ系アメリカ人
identity,ethnicity,neutral,黒人
identity,ethnicity,neutral,白人
identity,ethnicity,neutral,欧州人
identity,ethnicity,neutral,ヨーロッパ人
identity,ethnicity,neutral,ヨーロッパ系
identity,ethnicity,neutral,欧州系
identity,ethnicity,neutral,ヒスパニック系
identity,ethnicity,neutral,ラテン系
identity,ethnicity,neutral,メキシコ人
identity,ethnicity,neutral,カナダ人
identity,ethnicity,neutral,アメリカ人
identity,ethnicity,neutral,アジア系
identity,ethnicity,neutral,インド人
identity,ethnicity,neutral,インド系
identity,ethnicity,neutral,ユダヤ系
identity,ethnicity,neutral,中東系
identity,ethnicity,neutral,中華系
identity,ethnicity,neutral,中国系
identity,ethnicity,neutral,朝鮮系
identity,ethnicity,neutral,朝鮮人
identity,ethnicity,neutral,日本人
identity,ethnicity,neutral,日系
identity,ethnicity,toxic,シナ
identity,ethnicity,toxic,チョン
identity,ethnicity,toxic,アメ公
identity,ethnicity,toxic,露助
identity,ethnicity,toxic,クロンボ
identity,gender,neutral,トランスジェンダー
identity,gender,neutral,男性
identity,gender,neutral,男
identity,gender,neutral,女性
identity,gender,neutral,女
identity,sexuality,neutral,lgbt
identity,sexuality,neutral,lgbtq
identity,sexuality,neutral,レズビアン
identity,sexuality,neutral,ゲイ
