template,toxicity,phrase
am_eth_gen_m,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|n} {type|identity_subtype|gender_connotation|neutral|n} man
am_eth_gen_m,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|m} {type|identity_subtype|gender_connotation|neutral|n} man
am_eth_gen_m,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|m} {type|identity_subtype|gender_connotation|neutral|m} man
am_eth_gen_m,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|n} {type|identity_subtype|gender_connotation|neutral|m} man
am_eth_gen_p,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|m} {type|identity_subtype|gender_connotation|neutral|m} persoon
am_eth_gen_p,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|m} {type|identity_subtype|gender_connotation|neutral|n} persoon
am_eth_gen_p,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|n} {type|identity_subtype|gender_connotation|neutral|m} persoon
am_eth_gen_p,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|n} {type|identity_subtype|gender_connotation|neutral|n} persoon
am_eth_gen_w,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|m} {type|identity_subtype|gender_connotation|neutral|m} vrouw
am_eth_gen_w,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|m} {type|identity_subtype|gender_connotation|neutral|n} vrouw
am_eth_gen_w,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|n} {type|identity_subtype|gender_connotation|neutral|m} vrouw
am_eth_gen_w,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|n} {type|identity_subtype|gender_connotation|neutral|n} vrouw
am_eth_sex_m,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|m} {type|identity_subtype|sexuality_connotation|neutral|m} man
am_eth_sex_m,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|m} {type|identity_subtype|sexuality_connotation|neutral|n} man
am_eth_sex_m,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|n} {type|identity_subtype|sexuality_connotation|neutral|m} man
am_eth_sex_m,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|n} {type|identity_subtype|sexuality_connotation|neutral|n} man
am_eth_sex_p,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|m} {type|identity_subtype|sexuality_connotation|neutral|n} persoon
am_eth_sex_p,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|n} {type|identity_subtype|sexuality_connotation|neutral|m} persoon
am_eth_sex_p,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|n} {type|identity_subtype|sexuality_connotation|neutral|n} persoon
am_eth_sex_p,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|m} {type|identity_subtype|sexuality_connotation|neutral|m} persoon
am_eth_sex_w,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|m} {type|identity_subtype|sexuality_connotation|neutral|m} vrouw
am_eth_sex_w,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|m} {type|identity_subtype|sexuality_connotation|neutral|n} vrouw
am_eth_sex_w,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|n} {type|identity_subtype|sexuality_connotation|neutral|m} vrouw
am_eth_sex_w,nontoxic,Ik ben een {type|identity_subtype|ethnicity_connotation|neutral|n} {type|identity_subtype|sexuality_connotation|neutral|n} vrouw
am_identity,nontoxic,Ik ben een {type|identity_connotation|neutral_gender|m}
am_identity,nontoxic,Ik ben {type|identity_connotation|neutral_gender|n}
am_identity,nontoxic,Ik ben {type|identity_connotation|neutral_gender|m}
am_identity,nontoxic,Ik ben een {type|identity_connotation|neutral_gender|n}
being_eth_gen,nontoxic,Als je {type|identity_subtype|ethnicity_connotation|neutral|m} en {type|identity_subtype|gender_connotation|neutral|m} bent ben je {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,Als je {type|identity_subtype|ethnicity_connotation|neutral|n} en {type|identity_subtype|gender_connotation|neutral|n} bent ben je {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,Als je {type|identity_subtype|ethnicity_connotation|neutral|n} en {type|identity_subtype|gender_connotation|neutral|m} bent ben je {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,Als je {type|identity_subtype|ethnicity_connotation|neutral|m} en {type|identity_subtype|gender_connotation|neutral|n} bent ben je {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,{type|identity_subtype|ethnicity_connotation|neutral|m} en {type|identity_subtype|gender_connotation|neutral|m} zijn is {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,{type|identity_subtype|ethnicity_connotation|neutral|m} en {type|identity_subtype|gender_connotation|neutral|n} zijn is {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,{type|identity_subtype|ethnicity_connotation|neutral|n} en {type|identity_subtype|gender_connotation|neutral|m} zijn is {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen,nontoxic,{type|identity_subtype|ethnicity_connotation|neutral|n} en {type|identity_subtype|gender_connotation|neutral|n} zijn is {type|adjective_connotation|nontoxic_gender|n}
being_eth_gen_tox,toxic,{type|identity_subtype|ethnicity_connotation|neutral|n} en {type|identity_subtype|gender_connotation|neutral|m} zijn is {type|adjective_connotation|toxic_gender|n}
being_eth_gen_tox,toxic,{type|identity_subtype|ethnicity_connotation|neutral|m} en {type|identity_subtype|gender_connotation|neutral|n} zijn is {type|adjective_connotation|toxic_gender|n}
being_eth_gen_tox,toxic,{type|identity_subtype|ethnicity_connotation|neutral|m} en {type|identity_subtype|gender_connotation|neutral|m} zijn is {type|adjective_connotation|toxic_gender|n}
being_eth_gen_tox,toxic,Als je {type|identity_subtype|ethnicity_connotation|neutral|n} en {type|identity_subtype|gender_connotation|neutral|n} bent ben je {type|adjective_connotation|toxic_gender|n}
