type,subtype,connotation,gender,word
adjective,,neutral,n,goed
adjective,,neutral,n,saai
adjective,,neutral,n,vervelend
adjective,,nontoxic,n,aangenaam
adjective,,nontoxic,n,aardig
adjective,,nontoxic,n,blij
adjective,,nontoxic,n,blije
adjective,,nontoxic,n,briljant
adjective,,nontoxic,n,briljante
adjective,,nontoxic,n,cool
adjective,,nontoxic,n,fantastisch
adjective,,nontoxic,n,fantastische
adjective,,nontoxic,n,fijn
adjective,,nontoxic,n,geinig
adjective,,nontoxic,n,geweldig
adjective,,nontoxic,n,geweldige
adjective,,nontoxic,n,gezellig
adjective,,nontoxic,n,gezellige
adjective,,nontoxic,n,goede
adjective,,nontoxic,n,goeie
adjective,,nontoxic,n,grappig
adjective,,nontoxic,n,grappige
adjective,,nontoxic,n,heerlijk
adjective,,nontoxic,n,leuk
adjective,,nontoxic,n,leuke
adjective,,nontoxic,n,lief
adjective,,nontoxic,n,lollig
adjective,,nontoxic,n,mooi
adjective,,nontoxic,n,mooie
adjective,,nontoxic,n,ongelofelijk
adjective,,nontoxic,n,ongelofelijke
adjective,,nontoxic,n,perfect
adjective,,nontoxic,n,perfecte
adjective,,nontoxic,n,prachtig
adjective,,nontoxic,n,prettig
adjective,,nontoxic,n,prettige
adjective,,nontoxic,n,prima
adjective,,nontoxic,n,super
adjective,,nontoxic,n,tof
adjective,,nontoxic,n,uitstekend
adjective,,nontoxic,n,uitstekende
adjective,,nontoxic,n,vriendelijk
adjective,,nontoxic,n,vriendelijke
adjective,,nontoxic,n,waanzinnig
adjective,,nontoxic,n,waanzinnige
adjective,,toxic,n,achterlijk
adjective,,toxic,n,afgrijselijk
adjective,,toxic,n,afgrijselijke
adjective,,toxic,n,afschuwelijk
adjective,,toxic,n,afschuwelijke
adjective,,toxic,n,akelig
adjective,,toxic,n,belachelijk
adjective,,toxic,n,belachelijke
adjective,,toxic,n,denigrerend
adjective,,toxic,n,dom
adjective,,toxic,n,domme
adjective,,toxic,n,fuck
adjective,,toxic,n,fucked up
adjective,,toxic,n,goor
adjective,,toxic,n,idioot
adjective,,toxic,n,idiote
adjective,,toxic,n,irritant
adjective,,toxic,n,kanker
adjective,,toxic,n,klere
adjective,,toxic,n,klote
adjective,,toxic,n,kolere
adjective,,toxic,n,kut
adjective,,toxic,n,lelijk
adjective,,toxic,n,lelijke
adjective,,toxic,n,lullig
