type,subtype,connotation,gender,word
name,,neutral,f,Anna
name,,neutral,m,Abdul
name,,neutral,m,Arthur
name,,neutral,f,Aylin
name,,neutral,m,Alex
name,,neutral,m,Andreas
name,,neutral,m,Ali
name,,neutral,f,Anastasia
name,,neutral,f,Angela
name,,neutral,f,Alina
name,,neutral,m,Ben
name,,neutral,m,Chris
name,,neutral,m,David
name,,neutral,f,Elisabeth
name,,neutral,m,Erik
name,,neutral,m,Hendrik
name,,neutral,f,Hanna
name,,neutral,f,Ida
name,,neutral,f,Julia
name,,neutral,m,Julian
name,,neutral,m,Jonas
name,,neutral,f,Lea
name,,neutral,m,Lukas
name,,neutral,f,Lena
name,,neutral,m,Marius
name,,neutral,m,Maximilian
name,,neutral,f,Marie
name,,neutral,m,Mehmet
name,,neutral,m,Mohammed
name,,neutral,m,Michael
name,,neutral,m,Mia
name,,neutral,m,Nils
name,,neutral,m,Ralf
name,,neutral,m,Stefan
name,,neutral,f,Sarah
name,,neutral,m,Simon
name,,neutral,m,Sebastian
name,,neutral,f,Samira
name,,neutral,m,Timo
name,,neutral,m,Yasin
name,,neutral,f,Yasmin
name,,neutral,m,Zahid
name,,neutral,f,Zoe
name,,neutral,m,Wladimir
adjective,,toxic,m,feio
adjective,,toxic,m,feioso
adjective,,toxic,f,feia
adjective,,toxic,f,feiosa
adjective,,toxic,m,horivel
adjective,,toxic,m,horroroso
adjective,,toxic,f,horrorosa
adjective,,toxic,m,retardado
adjective,,toxic,f,retardada
adjective,,toxic,n,demente
adjective,,toxic,n,debiloide
adjective,,toxic,n,terrivel
adjective,,toxic,n,ruim
adjective,,toxic,n,sem gosto
adjective,,toxic,m,abobado
adjective,,toxic,f,abobada
adjective,,nontoxic,n,grande
adjective,,nontoxic,n,incrivel
adjective,,nontoxic,n,bacana
adjective,,nontoxic,n,legal
adjective,,nontoxic,m,maravilhoso
adjective,,nontoxic,f,maravilhosa
adjective,,nontoxic,m,esperto
adjective,,nontoxic,f,esperta
adjective,,nontoxic,n,bem feito
adjective,,nontoxic,n,capaz
identity,sexuality,neutral,n,gay
identity,sexuality,neutral,f,lesbica
identity,sexuality,neutral,n,bissexual
identity,sexuality,neutral,m,bicha
identity,sexuality,neutral,m,curioso
identity,sexuality,neutral,f,curiosa
identity,sexuality,neutral,n,homossexual
identity,sexuality,neutral,n,heterossexual
identity,sexuality,neutral,m,assexuado
identity,sexuality,neutral,f,assexuada
identity,sexuality,neutral,n,pansexual
identity,gender,neutral,m,homem
identity,gender,neutral,f,mulher
identity,gender,neutral,n,transgenero
identity,gender,neutral,n,trans
identity,gender,neutral,n,genero fluido
identity,gender,neutral,m,androgino
identity,gender,neutral,f,androgina
identity,gender,neutral,n,hermafrodita
identity,gender,neutral,m,trans M-F
identity,gender,neutral,f,trans F-M
identity,ethnicity,neutral,m,negro
identity,ethnicity,neutral,f,negra
identity,ethnicity,neutral,m,branco
identity,ethnicity,neutral,f,branca
