template,toxicity,phrase
verb_adj,nontoxic,{type|verb_connotation|nontoxic_gender|n} o {type|identity_connotation|neutral_gender|m}
verb_adj,nontoxic,{type|verb_connotation|nontoxic_gender|n} a {type|identity_connotation|neutral_gender|m}
being_adj,nontoxic,eu sou {type|identity_connotation|neutral_gender|n}
being_adj,nontoxic,eu sou {type|identity_connotation|neutral_gender|m}
being_adj,nontoxic,eu sou {type|identity_connotation|neutral_gender|f}
being_adj,nontoxic,Ser {type|adjective_connotation|nontoxic_gender|m} é {type|adjective_connotation|nontoxic_gender|m}
being_adj,nontoxic,Ser {type|adjective_connotation|nontoxic_gender|f} é {type|adjective_connotation|nontoxic_gender|f}
being_adj,nontoxic,Ser {type|adjective_connotation|nontoxic_gender|n} é {type|adjective_connotation|nontoxic_gender|m}
being_adj,nontoxic,Ser {type|adjective_connotation|nontoxic_gender|n} é {type|adjective_connotation|nontoxic_gender|f}
being_adj,nontoxic,Ser {type|adjective_connotation|nontoxic_gender|m} é {type|adjective_connotation|nontoxic_gender|n}
being_adj,nontoxic,Ser {type|adjective_connotation|nontoxic_gender|f} é {type|adjective_connotation|nontoxic_gender|n}
proud_adj,nontoxic,Eu estou orgulhoso de ser {type|identity_connotation|neutral_gender|m}
proud_adj,nontoxic,Eu estou orgulhoso de ser {type|identity_connotation|neutral_gender|f}
proud_adj,nontoxic,Eu estou orgulhoso de ser {type|identity_connotation|neutral_gender|n}
proud_adj,nontoxic,Eu estou orgulhosa de ser {type|identity_connotation|neutral_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} é um {type|identity_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|m}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} é um {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|m}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} é um {type|identity_connotation|neutral_gender|m} {type|adjective_connotation|nontoxic_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} é um {type|identity_connotation|neutral_gender|n} {type|adjective_connotation|nontoxic_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} é um {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|m}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} é um {type|adjective_connotation|nontoxic_gender|m} {type|identity_connotation|neutral_gender|n}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} é um {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|m}
name_adj,nontoxic,{type|name_connotation|neutral_gender|m} é um {type|adjective_connotation|nontoxic_gender|n} {type|identity_connotation|neutral_gender|n}
