type,subtype,connotation,gender,word
name,,neutral,f,Anna
name,,neutral,m,Abdul
name,,neutral,m,Arthur
name,,neutral,f,Aylin
name,,neutral,m,Alex
name,,neutral,m,Andreas
name,,neutral,m,Ali
name,,neutral,f,Anastasia
name,,neutral,f,Angela
name,,neutral,f,Alina
name,,neutral,m,Ben
name,,neutral,m,Chris
name,,neutral,m,David
name,,neutral,f,Elisabeth
name,,neutral,m,Erik
name,,neutral,m,Hendrik
name,,neutral,f,Hanna
name,,neutral,f,Ida
name,,neutral,f,Julia
name,,neutral,m,Julian
name,,neutral,m,Jonas
name,,neutral,f,Lea
name,,neutral,m,Lukas
name,,neutral,f,Lena
name,,neutral,m,Marius
name,,neutral,m,Maximilian
name,,neutral,f,Marie
name,,neutral,m,Mehmet
name,,neutral,m,Mohammed
name,,neutral,m,Michael
name,,neutral,m,Mia
name,,neutral,m,Nils
name,,neutral,m,Ralf
name,,neutral,m,Stefan
name,,neutral,f,Sarah
name,,neutral,m,Simon
name,,neutral,m,Sebastian
name,,neutral,f,Samira
name,,neutral,m,Timo
name,,neutral,m,Yasin
name,,neutral,f,Yasmin
name,,neutral,m,Zahid
name,,neutral,f,Zoe
name,,neutral,m,Wladimir
adjective,,toxic,n,repugnante
adjective,,toxic,m,porco
adjective,,toxic,f,porca
adjective,,toxic,m,nojento
adjective,,toxic,f,nojenta
adjective,,toxic,n,podre
adjective,,toxic,n,horrível
adjective,,toxic,n,terrível
adjective,,toxic,n,péssimo
adjective,,toxic,m,repulsivo
adjective,,toxic,f,repulsiva
adjective,,toxic,n,vil
adjective,,toxic,n,idiota
adjective,,toxic,m,estúpido
adjective,,toxic,f,estúpida
adjective,,toxic,m,parvo
adjective,,toxic,f,parva
adjective,,toxic,m,burro
adjective,,toxic,f,burra
adjective,,toxic,m,feio
adjective,,toxic,f,feia
adjective,,toxic,m,merdoso
adjective,,toxic,f,merdosa
adjective,,toxic,m,fodido
adjective,,toxic,f,fodida
adjective,,toxic,m,cretino
adjective,,toxic,f,cretina
adjective,,nontoxic,m,ótimo
adjective,,nontoxic,f,ótima
adjective,,nontoxic,m,divertido
adjective,,nontoxic,f,divertida
adjective,,nontoxic,m,simpático
adjective,,nontoxic,f,simpática
adjective,,nontoxic,n,fixe
adjective,,nontoxic,m,porreiro
adjective,,nontoxic,m,porreira
adjective,,nontoxic,n,feliz
adjective,,nontoxic,m,bom
adjective,,nontoxic,f,boa
adjective,,nontoxic,m,o melhor
adjective,,nontoxic,f,a melhor
adjective,,nontoxic,n,agradável
adjective,,nontoxic,m,fantástico
adjective,,nontoxic,f,fantástica
adjective,,nontoxic,n,espetacular
adjective,,nontoxic,n,adorável
adjective,,nontoxic,n,excelente
adjective,,nontoxic,n,incrível
adjective,,nontoxic,n,amigável
adjective,,nontoxic,n,cortez
adjective,,nontoxic,n,gentil
adjective,,nontoxic,m,carinhoso
adjective,,nontoxic,f,carinhosa
