template,toxicity,phrase
am_identity,nontoxic,Я {type|identity_connotation|neutral_gender|m}
am_identity,nontoxic,Я {type|identity_connotation|neutral_gender|f}
am_eth_gen_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|m}
am_eth_gen_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|m}
am_eth_gen_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|f}
am_eth_gen_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|n}
am_eth_gen_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|f}
am_eth_sex_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|m}
am_eth_sex_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|m}
am_eth_sex_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|f}
am_eth_sex_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|n}
am_eth_sex_p,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|f}
am_eth_gen_w,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|f} женщина
am_eth_gen_w,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|gender_connotation|neutral_gender|n} женщина
am_eth_gen_w,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|f} женщина
am_eth_gen_w,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n} женщина
am_eth_sex_w,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|f} женщина
am_eth_sex_w,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|f} {type|identity_subtype|sexuality_connotation|neutral_gender|n} женщина
am_eth_sex_w,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|f} женщина
am_eth_sex_w,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n} женщина
am_eth_gen_m,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|m} мужчина
am_eth_gen_m,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|gender_connotation|neutral_gender|n} мужчина
am_eth_gen_m,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|m} мужчина
am_eth_gen_m,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|gender_connotation|neutral_gender|n} мужчина
am_eth_sex_m,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|m} мужчина
am_eth_sex_m,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|m} {type|identity_subtype|sexuality_connotation|neutral_gender|n} мужчина
am_eth_sex_m,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|m} мужчина
am_eth_sex_m,nontoxic,Я {type|identity_subtype|ethnicity_connotation|neutral_gender|n} {type|identity_subtype|sexuality_connotation|neutral_gender|n} мужчина
am_eth_sex_m,nontoxic,Быть {type|identity_connotation|neutral_gender|m} {type|adverb_connotation|nontoxic_gender|m}
am_eth_sex_m,nontoxic,Быть {type|identity_connotation|neutral_gender|n} {type|adverb_connotation|nontoxic_gender|m}
am_eth_sex_m,nontoxic,Быть {type|identity_connotation|neutral_gender|m} {type|adverb_connotation|nontoxic_gender|n}
am_eth_sex_m,nontoxic,Быть {type|identity_connotation|neutral_gender|n} {type|adverb_connotation|nontoxic_gender|n}
am_eth_sex_m,nontoxic,Быть {type|identity_connotation|neutral_gender|f} {type|adverb_connotation|nontoxic_gender|f}
