type,subtype,connotation,gender,corresponding_english_term,word
adjective,,neutral,m,friendly,дружелюбный
adjective,,toxic,f,pathetic,жалкая
adjective,,toxic,m,pathetic,жалкий
adjective,,neutral,m,lovely,славный
adjective,,neutral,n,lovely,славное
adjective,,neutral,f,lovely,славная
adjective,,toxic,f,idiotic,идиотская
adjective,,toxic,m,idiotic,идиотский
adjective,,toxic,n,idiotic,идиотское
adjective,,toxic,m,moronic,слабоумный
adjective,,toxic,f,moronic,слабоумная
adjective,,toxic,m,nasty,скверный
adjective,,toxic,f,nasty,скверная
adjective,,neutral,f,interesting,интересная
adjective,,neutral,m,interesting,интересный
adjective,,toxic,m,nasty,противный
adjective,,toxic,f,nasty,противная
adjective,,toxic,m,damn,проклятый
adjective,,toxic,f,accursed,проклятая
adjective,,neutral,m,lovely,привлекательный
adjective,,neutral,f,nice,классная
adjective,,neutral,m,nice,классный
adjective,,neutral,f,lovely,привлекательная
adjective,,neutral,m,affable,приветливый
adjective,,toxic,f,fucked,конченая
adjective,,toxic,m,fucked,конченый
adjective,,toxic,f,shitty,сраная
adjective,,toxic,m,shitty,сраный
adjective,,toxic,m,fucked,ебаный
adjective,,toxic,m,fucked,ебанутый
adjective,,toxic,f,dirty,грязная
adjective,,toxic,m,dirty,грязный
adjective,,neutral,f,happy,счастливая
adjective,,toxic,f,moronic,дебильная
adjective,,toxic,n,moronic,дебильное
adjective,,toxic,m,moronic,дебильный
adjective,,toxic,m,repulsive,стервозный
adjective,,toxic,n,repulsive,стервозное
adjective,,toxic,f,repulsive,стервозная
adjective,,toxic,f,shit,дерьмовая
adjective,,toxic,m,crappy,дерьмовый
adjective,,neutral,f,kind,добрая
adjective,,neutral,f,friendly,приветливая
adjective,,neutral,n,kind,доброе
adjective,,toxic,f,wacky,долбанутая
adjective,,toxic,n,wacky,долбанутое
adjective,,toxic,m,wacky,долбанутый
adjective,,neutral,f,friendly,дружелюбная
adjective,,neutral,n,friendly,дружелюбное
adjective,,toxic,f,unpleasant,неприятная
adjective,,toxic,f,idiotic,дурацкая
adjective,,toxic,m,idiotic,дурацкий
adjective,,toxic,f,stupid,дурная
adjective,,toxic,m,stupid,дурной
adjective,,toxic,f,fucked,ебаная
adjective,,toxic,f,fucked,ебанутая
adjective,,neutral,m,kind,добрый
adjective,,neutral,n,happy,счастливое
adjective,,toxic,f,horrible,кошмарная
adjective,,toxic,m,horrible,кошмарный
adjective,,toxic,f,lousy,паршивая
adjective,,neutral,m,charming,очаровательный
adjective,,neutral,f,charming,очаровательная
adjective,,toxic,m,repulsive,отталкивающий
adjective,,toxic,f,repellent,отталкивающая
adjective,,toxic,m,awful,отстойный
