rev_id	comment	is_toxic	split
wikipedia30730588_Jeanne Galzy_2	"Jeunes Filles en serre chaude (1934) aimed to be the portrait of the students of the École normale supérieure in Sèvres; the school was reputed to be a ""breeding ground of homosexual relationship,"" and had earlier been the subject of a novel exploring same-sex desire, Les Sevriennes (1900) by Gabrielle Reval."	False	test
wikipedia31925085_Pride Bristol_0	Pride Bristol organised its first events when it was founded in 2010, including Bristol's first ever LGBT pride parade, showing the London Lesbian and Gay Film Festival at The Watershed, a show at The Bristol Hippodrome, a one-off performance by Rhona Cameron at Metropolis, and literary reviews by Stella Duffy and Paul Burston at The Arnolfini.	False	dev
wikipedia158934_Catholic Church sexual abuse cases_11	"Additionally The New York Times reported ""the abuse decreased as more gay priests began serving the church."""	False	train
wikipedia571061_Egan v Canada_0	James Egan and John Norris Nesbit, the plaintiffs, were a gay couple who had been in a conjugal relationship since 1948.	False	test
wikipedia2388970_Elizabeth Mitchell_0	Mitchell had a recurring role as psychiatrist Dr. Kim Legaspi, the first lesbian lover of Dr. Kerry Weaver (Laura Innes) during the 2000–01 season of TV series ER.	False	train
wikipedia40434889_San Francisco Track and Field Club_2	Dr. Tom Waddell, founder of the Gay Games, had put together a team of athletes to represent San Francisco in track and field at the Games.	False	train
wikipedia891552_Harden–Eulenburg affair_4	Between 1906 and 1907, six military officers committed suicide after blackmail, while in the preceding three years, around twenty officers were convicted by courts-martial, all for their homosexual acts.	False	test
wikipedia24140478_Sexual orientation change efforts_31	Indeed, many lesbians and gay men report living as a heterosexual before recognizing or developing their homosexual orientation.	False	train
wikipedia2400259_Queer (song)_16	"""Queer"" peaked at 12th on the Modern Rock chart in its ninth week, but did not earn enough airplay to chart in the Billboard Hot 100."	False	train
wikipedia29616483_Mulligans (film)_0	After continued attempts by Tyler to set up Chase with local girls, Chase comes out to Tyler and tells him he is gay.	False	test
wikipedia1189660_Song structure_0	B: Don we now our gay apparel,.	False	train
wikipedia22413963_Amira Masood_0	Her final episode was broadcast on 26 April 2010, after Amira discovered that her husband was gay and had been having an affair with Christian Clarke (John Partridge).	False	test
wikipedia43150146_Anna Crusis Women's Choir_0	Including both lesbian and straight women, Anna Crusis is the earliest formed of the Gay and Lesbian Association of Choruses (GALA) and the first women's chorus to become a member of GALA.	False	train
wikipedia1532791_There's Something About Marrying_37	Irksome lesbian stereotypes abound, and Nelson the bully suggests they 'legalize gay funerals.'	False	dev
wikipedia36254315_Tutto tutto niente niente_1	After a dream scabrosos and detector, Cetto he tells the psychologist who, with a lot of freedom and emancipation, the confirmation that Cetto could simply be homosexual.	False	train
wikipedia16601001_MassResistance_10	Camenker is critical of the FBI's LGBT program promoted on the FBI's careers website, as well as their involvement with the Southern Poverty Law Center (SPLC) and the CIA's Agency Network of Gay, Lesbian, Bisexual and Transgender Employees and Allies (ANGLE).	False	dev
wikipedia26306072_Los exitosos Pérez_0	Martin is gay and his partner is Tomas Arana (José Ron), son of the owner of the channel, while Sol (Ludwika Paleta) is having an affair with Diego Planes (Marco Méndez), a chronicler of Global News.	False	dev
wikipedia23093314_North American Conference of Homophile Organizations_17	Out in All Directions: The Almanac of Gay and Lesbian America.	False	train
wikipedia1038279_Wassailing_0	"Private readings about people in Somerset in the 1800s revealed that inhabitants of Somerset practised the old Wassailing Ceremony, singing the following lyrics after drinking the cider until they were ""merry and gay:""."	False	test
wikipedia452048_Kathy Najimy_0	Najimy, an outspoken feminist, is also noted as an activist for human rights and gay rights.	False	train
wikipedia89662_Margaret Cho_6	She has covered substance abuse, eating disorders, her bisexuality and obsession with gay men, and Asian-American stereotypes, among other subjects, in her stand-up routines.	False	test
wikipedia40000516_Minsk Pride_42	"The third day of ""Minsk Gay Pride"" 2012 was dedicated to education."	False	test
wikipedia25020034_Media portrayal of LGBT people_5	For example, gay and lesbian characters are rarely the main character in movies; they frequently play the role of stereotyped supporting characters or portrayed as a victim or villain.	False	train
wikipedia38678872_Jay & Silent Bob's Super Groovy Cartoon Movie_4	Bluntgirl defeats Lipstick Lesbian single-handedly and begins to show romantic interest in Bluntman.	False	train
wikipedia6118686_History of lesbianism in the United States_86	Janice appeared unaware that Stone had informed the collective of her transgender status before agreeing to join.	False	train
wikipedia1925926_English-language vowel changes before historic /r/_0	queer) or a palato-alveolar consonant (e.g.	False	train
wikipedia16425950_Sexuality and space_26	As such, Toronto's gay village is not simply a homogenous space for sexual dissidents, but is an unfixed and contested space.	False	train
wikipedia25818314_André-Joseph Léonard_0	"As to same sex-marriage, Danneels had agreed with, and even congratulated the government on, providing a legal framework for stable relations between homosexual couples, though he consistently objected that the term ""marriage"" should be reserved for heterosexual relationships."	False	train
wikipedia1892124_Lavender Menace_2	Under her direction, NOW attempted to distance itself from lesbian causes – including omitting the New York chapter of the Daughters of Bilitis from the list of sponsors of the First Congress to Unite Women in November 1969.	False	train
wikipedia34224279_Mr. Right (2009 film)_2	Paul is slowly but surely getting drawn into the gay scene, despite visibly and verbally protesting every step of the way.	False	train
wikipedia1933111_Straight-acting_1	Although the label is used by and reserved almost exclusively for gay and bisexual men, it may also be used to describe a lesbian or bisexual woman exhibiting a feminine appearance and mannerisms.	False	test
wikipedia14723001_Little Britain USA_0	Senator White, an American counterpart of Sir Norman Fry; he attempts to cover up his homosexual experiences.	False	dev
wikipedia7378311_Erotixxx Award_0	Best Gay Film - Rising Sun.	False	train
wikipedia33353153_Ministerial exception_0	For example, the US government cannot force the Catholic church to hire homosexual or female priests.	False	train
wikipedia4777324_Itty Bitty Titty Committee_3	With the expert help of one of Shulamith's lovers, Calvin (who was discharged from the military for being a lesbian under Don't Ask Don't Tell), and Meat's prowess with sculpture, a giant phallus has been erected atop the Washington Monument and is blown off with explosives.	False	train
wikipedia1673802_Bill Lippert_6	In 2006, Lippert was the lead sponsor of the Transgender Non-discrimination Bill in the House.	False	train
wikipedia12927876_A Nice Day for a Posh Wedding_0	Marc denies Cliff's reason and said that they are gay and there's no such things about straight or not.	False	train
wikipedia1133876_Richard Hongisto_0	He was a co-founder of Officers for Justice, an organization of officers who were primarily racial minorities or gay.	False	train
wikipedia2556633_Down the Street_4	However, Down the Street managed to stay open, making it the oldest and longest operating gay disco in New Jersey's history when it closed in 1999.	False	train
wikipedia15894761_Marraqueta_0	An alternative theory of the bread’s origin was proposed by French naturalist and botanist Claude Gay, who suggested that marraqueta was first eaten in Chile in the 18th century.	False	train
wikipedia1033757_Rufus Wainwright (album)_2	Rufus Wainwright was nominated four times by the Gay & Lesbian American Music Awards, an organization that provided the foundation for the recognition of the excellence of LGBT artists.	False	test
wikipedia63689_Patricia Highsmith_0	"Published under the pseudonym of ""Claire Morgan,"" Highsmith wrote the first lesbian novel with a happy ending, The Price of Salt, republished 38 years later as Carol under her own name."	False	dev
wikipedia31283250_Big Gay Ice Cream_3	And if I weren't happy, I wouldn't have the Big Gay Ice Cream Truck.	False	test
wikipedia92656_Same-sex marriage_9	Conscientious and nurturing adults, whether they are men or women, heterosexual or homosexual, can be excellent parents.	False	dev
wikipedia617858_Augustan poetry_9	On the other side of this line, however, were people who agreed with the politics of Gay and Pope (and Swift), but not in approach.	False	test
wikipedia1076714_South Boston_1	In the 1990s, South Boston became the focus for a Supreme Court case on the right of gay and lesbian groups to participate in the Saint Patrick's Day (Evacuation Day) parade.	False	train
wikipedia2440519_Robert Thistlethwayte_1	Allegations of homosexual behaviour, which was considered scandalous at that time, and the College's decision to take out fire insurance combined to prompt the following verse:.	False	train
wikipedia1266433_Independent Gay Forum_15	IGF writers would often endorse conservative Republican theories about the harm that gun control legislation would pose to lesbian and gay handgun owners, arguing that such controls infringe constitutional rights under the Second Amendment, welfare 'reform', Social Security privatization, abortion, and the neo-conservative theory about initiating military action in order to promote a freedom and democracy in certain nations such as Iran and Iraq.	False	train
wikipedia19266519_Treehouse of Horror XX_0	Moe uses this to his advantage and woos Marge, tricking her into thinking that Homer came out of the closet as a homosexual and left Marge, when in reality, Homer is slowly dying from losing blood.	False	train
wikipedia31223265_Joan Jett Blakk_0	In each of these campaigns Smith ran on the Queer Nation Party ticket.	False	train
